{'descr': '房间很大，洗澡间里的东西不太好用，', 'star': 4}
{'descr': '不错，环境设施确实非常不错，周边也有大润发，就是太偏了，去市区不方便', 'star': 3}
{'descr': '觉得环境不错，服务很好，很舒适，房间很大，超值~~~', 'star': 5}
{'descr': '地点不错，房间也比较整洁，好像五楼的热水不太好调整，时冷时热，可能是水压的问题。', 'star': 5}
{'descr': '房间很大，装修很漂亮，服务很满意，下次还会去', 'star': 5}
{'descr': ' 各方面都不错 就是有点远 比较有家的感觉 ', 'star': 5}
{'descr': '酒店环境很好，服务很热情，我推荐朋友来入住。', 'star': 3}
{'descr': '强力推荐，真的很好。房间大、东西新，比有的5星级的都好。下次还住！', 'star': 5}
{'descr': '酒店的性价比很高，有洗衣机和灶具等家居用品，只是电热水器，洗澡有点不爽，40L的热水器，一家三口，置多够2个人洗澡的。周边还是蛮方便的几个大型超市购物便利。适于自驾游的朋友。', 'star': 5}
{'descr': '环境很好，空间大像住自己家一样，就是附近没什么吃的', 'star': 5}
{'descr': '除了位置比较偏 适合自驾游。 其他地方很满意 性价比高 服务也很好。', 'star': 5}
{'descr': '五星的服务,二星的价格,性价比非常高.或许是刚开业的原因,房间设施比较新.空间宽敞.最值得称赞的网速飞快,我测了几次,平均能达到11M!是我住过的酒店中上网速度最快的!', 'star': 5}
{'descr': '性价比很高的酒店，大的出奇，床也是2米2 的，以后还会去。', 'star': 5}
{'descr': '房间很大，有卧室和会客厅，属于很好的酒店，而且价格也不高。唯一一次住酒店拍照片了，可惜没办法上传，总之，推荐', 'star': 5}
{'descr': '酒店式公寓，有洗衣机、阳台、冰箱。呵呵。东西很齐。东西也很新，应该是刚装修不久。很好。\n位置稍微偏僻了一点，打车不太方便。\n', 'star': 5}
{'descr': '房间很大，设备齐全，但离市区太远，适合自驾游的朋友住宿，好像有些房间是卖给别人，做住房的吧，感觉有点乱。总体不错！', 'star': 5}
{'descr': '不错的酒店 房间比较大 设施也比较新 服务也不错 就是地点稍偏了点 适合自驾一族', 'star': 5}
{'descr': '非常好的酒店，简直就是4星级的设施，宽敞干净，价格也很实惠。', 'star': 5}
{'descr': '酒店非常干净，而且房间很大，设施也很好，用了消费券后价格非常便宜，真正的好享受，停车也方便，下次还住。', 'star': 5}
{'descr': '房间设施环境都不错，只是洗澡热水有限不是很方便', 'star': 5}
{'descr': '酒店够四星级的标准，房间设施豪华，房间空间很大，有开放式厨房，阳台上还有洗衣机，很舒适，服务人员态度热情，笑容可掬。附近有两大超市——大润发、家乐福。下次还会入住。建议酒店行政双床房，由于房间较大，可多增加一台空调，就更好了。总体来说非常满意，物超所值。', 'star': 5}
{'descr': '第二次入住这家酒店了，真的很不错，发票居然还刮到了奖，呵呵，虽然只有十块，但是我想会给我带来好运的。', 'star': 5}
{'descr': '入住苏州中翔广场洒店公寓', 'star': 3}
{'descr': '注意不要把毛巾和床单弄上血迹或污迹会增加清洗费 ，其他方面都非常的好，相信我一定要去住那里', 'star': 5}
{'descr': 'rgtghbtrbgfhjgn jhjnghberdfcqwsdvc regfbv', 'star': 5}
{'descr': 'efderdfergfdbgfv12qwedfcv4rfvc', 'star': 5}
{'descr': '位置比较偏一点，但是里面装修环境还不错，酒店也是刚开业所以可能服务管理方面在加强一下。价格还不错性价比还是挺高的。', 'star': 5}
{'descr': '交通不是很便利，酒店还没完全造好，但现在178的性价比觉得还可以。', 'star': 5}
{'descr': '性价比非常高的酒店，房间非常大，俩空调，床很舒服，还带洗衣机，真的很不错，就是位置离市中心有点远，开车过去比较方便，位置在相城大道边上，还是容易找的，边上还有大润发，买点东西很方便。', 'star': 5}
{'descr': '设施人性化，有家的感觉\n值得一住！！！！！！', 'star': 5}
{'descr': '\u3000\u3000非常满意，物超所值。房间设施豪华，卫生间都是ＴＯＴＯ的，尤其镜子边的两个壁灯非常华丽，硬件很不错。有开放式厨房，阳台上竟然还有洗衣机，１７８元享受了四星级的标准。服务人员笑容可掬。不足之处是没有餐厅，周围只有大润发。建议在料理台上安置微波炉，便于买来的食品可以加热，更有家的感觉。', 'star': 5}
{'descr': '房子条件不错，面积很大，也很舒适，就是下水道不畅，不敢多用水洗澡，怕水溢到外面来', 'star': 5}
{'descr': 'good good good good good', 'star': 5}
{'descr': 'the price of this hotel is perfect,especially if u compared this price with the others in suzhou city', 'star': 5}
{'descr': '地区较偏，其他还好，总体评价比较一般，设施较新', 'star': 5}
{'descr': '酒店是新装修的哦，住着舒服，空间大、设施全，感觉很温馨呢，虽然离市区略远了一点，但是价格很给力^o^性价比很高哦，比较适合自驾游的朋友哈', 'star': 5}
{'descr': '设施比较新，旁边就有大润发，比较方便。\n淋雨水流不是很大，洗澡不够爽，用热水器烧水，用热水有限制，除了这一点其他都很好啊。', 'star': 5}
{'descr': '感觉不错,设施先进,就是房间略有干燥,总体非常不错啦', 'star': 5}
{'descr': 'the location of this hotel is not that good,price is ok i think,but i recommended them to improve their service could be better than this', 'star': 5}
{'descr': 'very nice hotel and i think this is the best hotel which is very good value for money:)', 'star': 5}
{'descr': '垃圾酒店，大堂难找，打电话给酒店没人接，周围根本没吃饭的地方，去市区远，一块破浴巾洗涤费要30，狗屁', 'star': 1}
{'descr': '酒店设施一流，服务业不错，很安静。附近有大润发 吃东西也很方便，下次继续光顾。价格也很有优势哦！！！', 'star': 5}
{'descr': '非常合算，166的价格能住上四星级的酒店。周边有大润发很方便。离园区近，地方有点偏', 'star': 5}
{'descr': '不错，性价比不错', 'star': 3}
{'descr': '非常棒的酒店，166的超低价格，还有50元的返现。很有家的感觉，公寓式酒店，超大，睡觉很舒服，客厅和房间各有一个空调，很不错的。酒店新开的，前台说以后会涨价的。就是酒店有点偏远，如果去苏州市区玩有点麻烦，所以推荐给自驾车的入住。真的很棒……', 'star': 5}
{'descr': '房间还行，就是有点偏交通不太方便。', 'star': 3}
{'descr': '地理位置还不错,比较实惠,适合商业人士的居住.', 'star': 5}
{'descr': '酒店新，服务好，房间内的设施都是TOTO的，空调也很给力，是苏州性价比最高的酒店之一', 'star': 5}
{'descr': '相对简陋，价格相对并不便宜。。。。。。。。。。。', 'star': 5}
{'descr': '这家酒店真的性价比很高，不贵的房费但是房间却很大，东西也很新，就是位置偏了一点最好是开车去', 'star': 3}
{'descr': '新店 果然划算！ 房间确实很大   4-50个平米的样子~~还有个客厅和小厨房，是个单身公寓的样子~~被子感觉的出是新被子~~睡的很舒服~~呼呼~~^0^', 'star': 5}
{'descr': '位置不错 值得推荐 被单上有头发,,,,,,,,,,,,,,,,,', 'star': 5}
{'descr': '＋房間比較大，很舒適。關鍵還很安靜。非常好。值得推薦。', 'star': 3}
{'descr': '一般，要是有早餐就好了。整个房间颜色设计根本不“如家”，觉得很怪异', 'star': 1}
{'descr': '总体还不错。房间干净，安静。后面的第三大街有酒吧。可以出去走走。', 'star': 5}
{'descr': '此酒店位置挺不错的！', 'star': 3}
{'descr': '位置在第二大街的背面。门口挺僻静。有一个空场放车。安静。设施有点旧，总体说还是不错的。前台对银行卡的操作不是特别熟练。 还有一点，大床房比双床房要大，而价格是一样的。我睡的大床，而朋友睡的双床。', 'star': 5}
{'descr': '位置在第二大街的背面。门口挺僻静。有一个空场放车。安静。设施有点旧，总体说还是不错的。前台对银行卡的操作不是特别熟练。', 'star': 5}
{'descr': '还是不错的，但是就是不能刷别人姓名的信用卡。。。比较无语', 'star': 5}
{'descr': '房间卫生条件挺好，挺安静，服务挺周到，交通也很方便', 'star': 5}
{'descr': '服务还不错，房间环境挺好，唯一的遗憾就是没有早餐。', 'star': 5}
{'descr': '还不错。很经济，房间挺干净的，服务也很好。', 'star': 5}
{'descr': '还不错 地理位置不错  交通方便  环境安静  ', 'star': 5}
{'descr': '还行，被子太薄', 'star': 5}
{'descr': '酒店一般，窗户也不可以打开的，颜色不是如家一贯的温暖色系', 'star': 3}
{'descr': '设施完备，卫生条件一般，地理位置较好！', 'star': 5}
