{'descr': '住过好几次 真的适合小情侣哈哈哈', 'star': 5}
{'descr': '很不错啊 还被做了免费的升级啊 推荐去啊 服务也很好啊 下次还去啊', 'star': 5}
{'descr': '很浪漫，很适合情侣', 'star': 5}
{'descr': '我想问一下，我办了会员卡，但遗失怎么办，还有会员卡可以转借他人么？谢谢~~~', 'star': 5}
{'descr': '床有点硬，服务态度很热情，就是隔音太差了点，总体来说还不错，值得推荐。。', 'star': 5}
{'descr': '房间样子很别致，挺有新意的，就是订餐的种类太少，希望多加点菜', 'star': 5}
{'descr': '不能刷卡比较麻烦 预定的房间和网上图片差距较大', 'star': 5}
{'descr': '还行，有点特色！服务人员需要加强培训，嘴上说“找您51元”，结果找了我41元，回头买东西才发现。无语！', 'star': 5}
{'descr': '店里的服务态度真的很不错，非常热情，下次应该还会住这里', 'star': 5}
{'descr': '服务很好.设施好', 'star': 5}
{'descr': '价格实惠，服务态度较好', 'star': 3}
{'descr': '干净，价格实惠，服务态度较好', 'star': 3}
{'descr': '干净，价格实惠，服务态度较好', 'star': 5}
{'descr': '房间面积严重缩水，房间设施极其简单，楼道窄小阴暗，而且不能刷卡。\r\n房间内感觉怪怪的。\r\n不会再来住了。', 'star': 1}
{'descr': '位置太不好找了，从三环来，那里的单行线不能右转，要绕很远才能到哪条小路上，门口没有停车位，要不就是马路牙子上。洗澡水不热，床很小，室内温度很低！卫生很差！温度太低了，回家就感冒发烧了……', 'star': 1}
{'descr': '房间比较小，连个像样的桌子都没有，卧床上方都没有灯，床头柜只有一个超市买的小台灯。', 'star': 1}
{'descr': '挺干净，价格实惠，服务态度较好。', 'star': 5}
{'descr': '很不错的回忆', 'star': 3}
{'descr': '装修还是有特色！北京风大时卫生间有气味，需该进。', 'star': 3}
{'descr': '很舒适的感觉，房间很简洁但又不单调，我和老公都觉得很满意。。。\r\n下次还回去住的', 'star': 5}
{'descr': '不错，环境非常温馨，服务员特别热情！', 'star': 5}
{'descr': '不怎么样，车不好停。更可气的是，我已经信用卡担保，我到那晚上10点了，进了房间居然没有收拾，被子还乱起八糟散落在那里，他们居然都不知道房间还没有收拾。后来才赶紧收拾房子，让我们在外面等了半个多小时，为了表示歉意，给我们延期一小时，但是也没有什么心情了。卫生也不好，感觉还是私人的，不正规。', 'star': 1}
{'descr': '不能刷银行卡是最不好的！房间帽衣架设计不科学，凉洗衣服没有地方，更没有衣柜及行李架，仅适合钟点房用途！', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '酒店很火爆 要求下午5点入住 结果去了等了一个半小时 不过房间很满意 设计时尚新颖 适合80后选择', 'star': 5}
{'descr': '谢谢,一切都不错.', 'star': 5}
{'descr': '很温馨！不错！就是光线不是很好！', 'star': 5}
{'descr': '虽然是代订，但是我也进了房间看看。\r\n真是很不错耶！特别有情调！\r\n但是同样非常火爆，想住的话一定提前约，经常爆满！', 'star': 5}
{'descr': '色彩在氛围上营造得相当出色，尤其适合年轻夫妇、男女朋友来此享受一场浪漫风情。房间设有DVD与液晶电视，可以在楼下前台大厅处挑选DVD影碟，新片旧片一样不缺。床铺的舒适程度就一般了，有点硬，被子有点薄。', 'star': 5}
{'descr': '感觉都很好， 可是价格有点高了。。。。', 'star': 5}
{'descr': '服务很热情，很好', 'star': 5}
{'descr': '   酒店的地址是比较难找的，打车问司机都不知道和平街在哪，不过所幸是找到了，住的还算不错，比较舒适。酒店牌子也有点小，不容易被注意到。', 'star': 5}
{'descr': '酒店离东直门较近，吃饭还算方便。\r\n房间灯光相当昏暗，不过卫生条件还不错\r\n而且有免费DVD，服务很人性化\r\n', 'star': 3}
{'descr': '里面的布置挺有意思，挺年轻化的，就是电视有点小，门脸小得有点意外，停车只能放在路边。\r\n最不好的就是，洗澡热水小得可怜，实在是可怜。这一点要改进', 'star': 5}
{'descr': '只能说SOSO，与预想的相差有一定的距离！', 'star': 1}
{'descr': '建议早些去挑房，情人节晚定的浪漫大床房，被告知没有了，升级为主题房，美其名曰“看电视最舒服的房间”，入住发现房间超小，格局非常差，卫生间有臭味，台阶非常容易滑倒。要求调房被告知只剩这间了。第二天给换的浪漫大床房，漂亮舒适，可惜只住了一晚第二天早就走了。值得提的是前台服务非常热情，体现了北京人的风范', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '比较浪漫，适合情侣！', 'star': 5}
{'descr': '房间很有特色```', 'star': 5}
{'descr': '离地铁站很近，很方便，隔音效果一般，室内不是很暖和，虽然有空调和暖气片。装修很宜家，过道以及小物件设计的很暧昧，很适合小年轻的口味。', 'star': 5}
{'descr': '比较适合年轻人，服务员也热情，还可以', 'star': 3}
{'descr': '酒店门脸很小，不是很醒目，服务员态度很好，很热情，就是房间太小，床太小了 ，下次不会去了 ', 'star': 1}
{'descr': '整体来讲不错，这次住了4晚，前台小姐很热情，前台小姐说这几天说不能刷卡这点有点没想到，整体来讲还是值得推存的。', 'star': 5}
{'descr': '很浪漫呢~~', 'star': 5}
{'descr': '很不错的服务设施,可惜就是DVD太大声...很不错的房间设置与摆设,非常有情调..楼下的大饼鸡蛋很喜欢....', 'star': 5}
{'descr': '很不错，很有感觉。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不是第一次住了，服务还是很周到，隔音还是不好，对了，221房里的吹风机是坏的。。。。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '酒店位置有点偏僻，房间很精致、可爱，被子有点薄，卫生比较好。下次还会入住！', 'star': 5}
{'descr': '我是头一次住那个，里边特冷，不暖和，下水道还总是有味，整个屋里都有那味，特别不好，总体来说一班，床太小了，不舒服。', 'star': 1}
{'descr': '本来订的是199的色彩浪漫房，结果因为没有房间了给我免费升级成吊床的主题房，一进去就喜欢上了，布置的很有情调，而且酒店设施也很完善，位置也很好，离地铁站很近，总之，第一次入住非常的满意，下次去北京还要住这里', 'star': 5}
{'descr': '刚开门进去一看，很漂亮。很像WOW里面血精灵的旅馆，不过就是红色的纱帐。尝鲜还行，要是追求舒适度的话有点次了。隔音不好，而且可能赶上换季节春天冒地气，卫生间犯味。不过总体很值的，比较有特色嘛', 'star': 5}
{'descr': '隔音确实差了些 别的还不错 ', 'star': 5}
{'descr': '只能说对得起这个价格，但是设施差了些', 'star': 1}
{'descr': '位置非常好找，开车直接停门口就行了，旁边有个吃烧烤的小馆，里面的骨肉相连和烤鸡翅非常好吃，环境也不错~前台mm的服务实在太好了，办理入住时还有热红茶喝，旁边的DVD可以随便借了上楼看，片子果然很新，什么十月围城、第九区等等最近的新片都有~吊床主题房的布置也很有特色，床上放了可爱的小动物玩具，实在有意思，晚上还有叫热奶茶送上来~唯一不足的是，那个圆床实在太短了，我173cm脚一直悬在外面，很不爽！但', 'star': 5}
{'descr': '前台服务员的讲话速度不是一般的快啊！房间里有台阶，不适合有老人和小孩居住！电视太小了，而且安装着得也太高了！没看一会脖子就不行了！卫生间的水池滴水，还得自己先修修！房间隔音效果不好！所以更加不适合有老人和小孩的旅客！', 'star': 1}
{'descr': '还可以,光线偏暗', 'star': 5}
{'descr': '前台态度非常好', 'star': 5}
{'descr': '酒店就是地理位置不是很好找,感觉有点偏之外,其他方面都挺好的,住宿条件环境也比较理想,感觉很舒适.', 'star': 3}
{'descr': '酒店就是地理位置不是很好找,感觉有点偏之外,其他方面都挺好的,住宿条件环境也比较理想,感觉很舒适.', 'star': 3}
{'descr': '我觉得房间环境挺好的，服务也不错，就是价格稍微有点高 ', 'star': 3}
{'descr': '总体来说很不错，卫生干净，设施完善，地理位置交通方便，靠近地铁站，服务热情周到，下次还会入住', 'star': 3}
{'descr': '门脸很不显眼，无线网络也不稳定，其他都还好', 'star': 5}
{'descr': '床上用品是红色，比较显脏，价格和地段还不错，就地铁口不旁边', 'star': 3}
{'descr': '酒店的颜色和床的确是一大特色，而且在小区里很安静', 'star': 5}
{'descr': '真的非常非常满意！我们住住的，非常的是浪漫圆床房，干净而且舒适，和男朋友度过了难忘的5天~ 中途就迫不及待地把朋友介绍来了，而且还办了会员卡，相信朋友会经常去住，下次回国的时候我还会去~~喜欢啊~~希望色彩酒店越来越兴旺！^^', 'star': 5}
{'descr': '还有就是，没有给我发票。不管是任何原因，作为一家酒店，随时都应该可以跟顾客开具发票的。我不可能为了一张发票，再跑个2000公里的路来拿吧？！还有就是连一个不太合理的，等有了发票我跟你邮寄过来的话都没有说。', 'star': 3}
{'descr': '房间设计的思路还是很好的，不过硬件很一般。进门要下个小台阶，在第一次入住、刚进门没有开灯的情况下，很容易踩空的。房间有点味道，床太硬，睡着不舒服。', 'star': 1}
{'descr': '在网上看了网友的评价后决定住这，出行很方便，位置不错，房间的设施也不错，性价比也高，还有DVD可看，唯一一点就是洗手间找不到插座。建议改进。其它都不错。下次如有机会还会入住。', 'star': 5}
{'descr': '环境挺不错很干净,服务态度也还行,房间设施和舒适度都不错,就是位置不是太好找出行不是太方便,性价比挺高的,还是挺不错的酒店.', 'star': 3}
{'descr': '酒店位置很好从地铁出口出口来走50米就到了非常方便,内部的装饰装修很喜欢,总体还是非常满意的.', 'star': 3}
{'descr': '服务态度超好 很热情很赞 唯一的遗憾就是位置稍偏 办离店手续时听说会有一家新的以紫色为主题的店开业 很期待呢', 'star': 5}
{'descr': '酒店各方面都不错，就是房间小点，但是很喜欢那个大床，已经办了会员卡，靠地铁近 交通也方便 以后每次到北京都会入住', 'star': 5}
{'descr': '很有特色，房间装饰很适合情侣约会，卫生、服务都很好，交通也方便，仅有的问题是房间不够多，要预定需要提早', 'star': 5}
{'descr': '超浪漫的一家酒店，确实是一大特色，不愧其色彩酒店的称谓，特别适合情侣入住，绝对有助于双方的感情升温、升华！！！', 'star': 5}
{'descr': '会推荐朋友来', 'star': 5}
{'descr': '服务态度还行,房间也很干净舒适,位置是有些偏了出行也不方便,性价比还是挺一般的.', 'star': 3}
{'descr': '位置稍有点偏，不过服务很好，只是等待入住的时间长了一些。', 'star': 5}
{'descr': '早就应该来点评点评了，因为忙一直没能上～&#183;是月初生日时跟LG来的这酒店，先从网上查过后才来的，当时因为地铁站没说清，下车后顶着大风找了久才找到酒店，小郁闷了一下。前台的两个小女孩都挺热情的，房间卫生也挺好，隔音效果也不错，下次会再体验一下圆床房。呵呵～～PS：楼下好的饭店不太多，没有超市，不太方便。有朋友要去的话一定要提前买好吃的嘎嘎～', 'star': 5}
{'descr': '不错，就是稍微有点儿旧了,但是感觉卫生还不错。', 'star': 3}
{'descr': '床还可以 有WI-FI这点很好 不过房间和距离他不到400米的汉庭差远了 汉庭价格比这个还低。2家我都住了 感觉下次来会选这里 首先情调不错 其次有WI-FI很方便 不过酒店很小啊。隔音真的不好！！', 'star': 5}
{'descr': '再接再厉', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '对了对了，忘了说了，那床特别小，根本不是什么1.8*2米的，被子特别薄，睡觉的时候按服务员说的吧窗帘放在窗台上露出暖器来，然后开了空调，依然特别冷，入住的时候说好给送被子或者毛毯来，也没送。房间隔音很差，走廊里的声音听得特清楚。插销很少，不够用。性价比很低。要是办了会员卡还稍微便宜点，但是我们实在觉得不怎么样，比如家7天速8差很多，尤其卫生方面，结账的时候就没办卡。服务员一看我们不是长期过来住的，', 'star': 3}
{'descr': '各种不好。首先房间有很大的异味，一进去的时候差点没熏出来…房间根本不像照片里这么好，墙皮有脱落，斑斑驳驳显得特破旧…电视巨小无比，简直就一电脑台式机的显示屏，哪像照片里那么大啊…被子是红色的，特别脏，怀疑每次都不换被罩。然后床头灯和台灯都是坏的，就一摆设，还不给修。卫生间和房间的隔断是纯玻璃，连磨砂都没有…里面看的一清二楚…淋浴的水压特别小，简直就只够冲冲身上而已。毛巾特别特别特别的脏，破破烂烂的', 'star': 1}
{'descr': '太浪漫的一家了，除了隔音效果不是很好，还有没有地方停车以外，别的都很经典，前台服务人员说话巨快，跟背天书一样，不过，服务还是很到位的，呵呵', 'star': 3}
{'descr': '很新颖的一家酒店，有点到家的感觉。', 'star': 5}
{'descr': '大厅有点陈旧缺乏管理的感觉，房间小但设计和红色很喜欢，周围也有几家餐厅，性价比不错', 'star': 5}
{'descr': '酒店综合来讲各方面服务都还是可以,位置还比较中心,出行很方便,性价比不错.', 'star': 3}
{'descr': '隔音效果特差，睡到半夜上厕所能听到......哈哈，不过别的还是很不错的！里面设置的感觉很好，特浪漫', 'star': 5}
{'descr': '虽然不在商业区，但是地铁13号线也很方便，酒店前台态度相当的好，房间风格很有特色，这次去住了三天，住了马赛克房和浪漫圆床，感觉都不错，推荐年轻情侣去', 'star': 5}
{'descr': '酒店整体条件都还不错，环境设施，服务卫生条件都是挺好的，价格也比较适中，挺好的。', 'star': 3}
{'descr': '非常不好，下次不会住！', 'star': 1}
{'descr': '房间的卫生和设施方面都很不错,房间布局的很漂亮,我很满意,服务人员也比较热情,下次再来这边还会选择这家酒店.', 'star': 3}
{'descr': '最满意的是服务', 'star': 5}
{'descr': '不能刷卡,没有发票(也许是当天),被子有点薄,其他还好', 'star': 1}
{'descr': '卫生服务方面做的非常好,很干净,位置也不错,离地铁站比较近,出行都很方便,但房间的隔音效果不太好.', 'star': 3}
{'descr': '酒店里面环境挺好的,房间也比较干净整洁,人员服务感觉也比较到位,就是床有点硬,不过整体的性价比还是蛮高的.', 'star': 3}
{'descr': '酒店的服务很不错，挺干净，设施条件也都还可以，就是床有点硬，还有就是位置比较偏一点。', 'star': 3}
{'descr': '感觉非常好 首先位置离地铁站较近 走的不远 旁边有小吃的\r\n\r\n进大厅的时候服务到位 还倒了两杯热橙汁 住的时候要了个台灯 也很快送来\r\n\r\n房间布置很温馨 圆床 卫生间是透明的 嘿嘿\r\n\r\n跟老公都很满意 以后还会去的', 'star': 5}
{'descr': '地铁13号光熙门下车走三分钟就到，房间不错，红色主题，浪漫，可以借DVD看，也可以自己带优盘里面存电影在机器上放。没有电梯', 'star': 5}
{'descr': '总体感觉很温馨，服务员态度和服务都非常好。酒店规模不大，房间装修还算精致，适合情侣住，碟片杂志免费无限借。到光熙门地铁站很近，附近也有几家餐馆。\r\n暖气不太暖，晚上需盖两床被子。199元双人间厕所无门，淋浴区和主房间用玻璃加薄纱隔开，和朋友以及非男友异性住不太方便。其他类型的房间情况就不知道了。', 'star': 5}
{'descr': '总的来说还不错，就是房间的家具太少，好像没有看到宽带接口，放东西和想写点东西都不方便。其他的都很好了', 'star': 5}
{'descr': '挺好的。要是大堂的DVD能整理的更好挑选一点就真的服务太到位了。\r\n虽然床有点硬，还是很不错，情侣去最好了，下次去多要床被子，哈哈。', 'star': 5}
{'descr': '性价比还可以。环境不错，周边有地铁站，交通方便。房间和楼道隔音稍微有些差，外面的噪音不大。有些服务的细节还需要改进。', 'star': 5}
{'descr': '酒店的环境是我是最热衷的。气氛十分的温馨。服务员的素质都很好，管理业很严格。那里果然是天天都满。很好。下次还去。', 'star': 5}
{'descr': '第二次住了 换了新地毯 屋子里的异味也没了 比上次好 这周末還去~', 'star': 5}
{'descr': '里面只有小射灯，没有一个大灯，非常昏暗，而且冷的要命。', 'star': 1}
{'descr': '房间设计比较独特，性价比比较高，服务态度很好。', 'star': 5}
{'descr': '卫生打扫的很干净,住着很舒适,位置也不错,主要是离我办事的地方很近,出行都很方便,就是服务意识上还需要加强.', 'star': 3}
{'descr': '环境不错，服务员少', 'star': 5}
{'descr': '不错，7个主题房我会一个一个来', 'star': 5}
{'descr': '卫生服务方面做的都很不错,很热情,但主要是位置非常好,离地铁站很近,去鸟巢很方便,我很满意.', 'star': 3}
{'descr': '感觉位置稍有点偏，但交通还是很方便的，价格一般般吧，适中，他们的服务态度很好，总体入住的还比较舒适', 'star': 3}
{'descr': '酒店的各方面服务还算可以.位置很好很方便出行.不过酒店提供的被子是红色的盖起来总感觉不太干净.其它向方面还是可以的.', 'star': 3}
{'descr': '酒店房间设计挺好的,比较有特色,而且位置也很好,价格又不贵,所以还是比较满意的.', 'star': 3}
{'descr': '不错的店。。。服务员不错，很和气。。。', 'star': 5}
{'descr': '总的来说还可以，很浪漫，适合情侣居住，房间比较小，住的是吊床房，可吊床是固定的，不能动。房间的地板很旧，卫生间设计还不错，只是没有门，感觉很不方便，内部装饰感觉比较温馨，只是有些旧，喜欢浪漫的情侣可以一试', 'star': 5}
{'descr': '服务非常热情 前台有盘可以借看 房间布置的不错 卫生间也很简单干净。\r\n地理位置一般 离13号线近 但是周边没有大超市和商场之类的 ', 'star': 5}
{'descr': '距离地铁站很近，公交不是很方便。价格算是合理适中的，卫生服务都还好。整体来讲算是比较不错的酒店值得推荐入住。', 'star': 3}
{'descr': '酒店的环境硬件设施都还好，卫生服务都还不错。房间硬件设施都还可以，就是房间的面积比较小。其它都很好，值得推荐入住。', 'star': 3}
{'descr': '位置很好找，出行是很方便的，房间的卫生和设施还不错，服务也还好，性价比是比较高的 值得推荐', 'star': 3}
{'descr': '酒店前台服务不是很人性化,住进去感觉还可以,环境挺好的,不过位置有点偏,不是很好找.', 'star': 3}
{'descr': '真的很有特色的酒店，服务设施都很好！我很满意哦！呵呵~~~', 'star': 5}
{'descr': '位置还挺好找的，出了地铁沿着路边走3分钟就到了。服务很好，店员很热情，房间都DVD，有很多新片可以看，就是房子的隔音效果不太好，卫生间的墙是玻璃的，屋子里可以看到，有点尴尬，而且屋子里还有点儿异味，应该经常在没有客人的时候开窗通风。不过总体上来讲还是不错的~办了张会员卡，听说要开紫色主题了，很期待', 'star': 5}
{'descr': '根本谈不上是酒店，连最基本的餐饮服务都没有，只能说是提供一个住宿，房间的房间的卫生和设施都很一般，而且位置也很不好找', 'star': 3}
{'descr': '情侣住不错，有点意思，就是设施装修有些粗糙，墙壁再贴上壁纸就好些；还有说提供免费DVD都看不了', 'star': 5}
{'descr': '出行很方便，但位置不是特别好找，是在街道里面的，房间的卫生和设施还是很不错，服务也还好，我觉得这家酒店性价比还是很高的', 'star': 3}
{'descr': '酒店服务员热情得过头了，受不了！房间里家具都没有，床头柜也没抽屉的，反正就是没有地方放东西，好不容易有个柜子，都放了卖的零食～还说是保健按摩枕，居然睡得我落枕！电话机也是坏的！刷卡都不行～离地铁站超近，楼下的饭店馄饨很好吃，就这两点还算满意～～', 'star': 5}
{'descr': '卫生间的味道很大,排气扇开了一整天还是有味道,设施很简陋,没有柜子和桌子自己的东西只能放地下,环境很好位置不错.', 'star': 3}
{'descr': '位置还是比较好找的离地铁13号线也不愿出行挺方便的,房间的卫生和设施也都还不错,价格也挺好的,总体感觉还是比较好的挺满意这家酒店的.', 'star': 3}
{'descr': '比较有特色，位置不是很好找，房间里放东西的地方少。总体来讲还是不错的。', 'star': 5}
{'descr': '整体还可以，主要是设计比较独特一些。但是隔音不太好，床也比较硬', 'star': 5}
{'descr': '酒店有些旧了。。没以前那样好了。。不过总体还可以', 'star': 5}
{'descr': '总体感觉不错，在北京能住到这样的宾馆也很不错了。', 'star': 5}
{'descr': '酒店的位置交通挺方便的，环境和服务我觉得都挺满意的，价格也比较合适，挺不错的。', 'star': 3}
{'descr': '非常不错。只是浴室的帘子可以换好一点的。', 'star': 5}
{'descr': '有特色', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店的位置不是特别好找，不过他旁边就有地铁，还算是挺方便的，内部的硬件设施和环境条件都是比较不错的，价格也挺合适的。', 'star': 3}
{'descr': '位置还是比较好找的出行也挺方便,服务态度还行的,性价比还是好的,挺不错的一家酒店还是比较满意的.', 'star': 3}
{'descr': '床有些硬，门缝很大不隔音，晚上关了灯地缝还进透过走廊的灯光，卫生间门把手坏了，要是关严了只能叫人从外面推开。其他都不错，房间很温馨，空调热水都不错，电视遥控不太好用。', 'star': 5}
{'descr': '小酒店，门脸不大，不太好找，但是房间很有特色，很温馨浪漫，适合热恋的情人，特别是吊床什么的，很另类，天花上还有玻璃。。。时间房很合适，但是过夜会有点别扭。呵呵。', 'star': 5}
{'descr': '服务态度很好，酒店设计新颖，对于购物类位置并不是很好……', 'star': 5}
{'descr': '想法和设计较有新意，但房间设施的配备有待加强，尤其是床，舒适度不够', 'star': 5}
{'descr': '还不错`枕头有点高', 'star': 3}
{'descr': '住了几回这酒店，评价还不错，安静。就是枕头高。房间周末不好定', 'star': 5}
{'descr': '非常好的一个地方，很喜欢~\r\n不过还是要给店家提些意见：枕头太高，床太硬，床垫的弹簧都凸起来了！既然是浪漫主题酒店，床上用品怎么能用这种质量的呢。。。如果店家能够改善这两方面，那么色彩连锁将是我的不二选择。', 'star': 5}
{'descr': '服务很不错，房间也比较干净，就是卫生间有些味道，不过卫生间的门窗封闭比较严，关上门就好一些。位置真不好找', 'star': 5}
{'descr': '唯一的缺点就是床有点硬', 'star': 5}
{'descr': '价钱还行  位置稍微远了点  坐地铁很方便  环境还行  下次找个别的房间住住看', 'star': 5}
{'descr': '床有些硬，卫生服务比较达标，位置出行交通方便，价格稍微有些偏高，乘公交位置不是很方便，虽然是在地铁站附近，但是做公交不太方便，整体来讲还可以入住。', 'star': 3}
{'descr': '感觉房间面积有点小，毛巾之类的配置的不是特别全。交通方便离地铁口比较近。', 'star': 3}
{'descr': '态度很好 就是不能刷卡', 'star': 5}
{'descr': '地方好偏好难找啊..', 'star': 1}
{'descr': '挺好的，还比较舒适，就是感觉床上用品比较上旧了，酒店应该考虑更新的，周边出行还比较方便，价格也还合理', 'star': 3}
{'descr': '交通便利~~搭地铁很方便~服务员服务态度很好！！很有特色~~很有情调&#183;~', 'star': 5}
{'descr': '位置还可以，交通还是挺方便的，就是在一个社区里面，房间的卫生和设施还是不错的，我觉得这家酒店性价比还是不错的的，值得推荐', 'star': 3}
{'descr': '酒店标志太不明显了，不好找，酒店本身内部环境还可以，价格也比较适中，总的来说还不错', 'star': 3}
{'descr': '酒店的位置有些偏不太好找第一次到这边还是很不方便的,酒店里面的卫生设施还不错.挺舒适.', 'star': 3}
{'descr': '非常舒服的一家酒店，环境也很安静，没有什么吵闹声，我很喜欢，如果有机会下次带朋友一起去', 'star': 5}
{'descr': '卫生条件一般，但服务很好，房间没法烧开水，不太方便', 'star': 5}
{'descr': '酒店装修有特点，适合情侣！服务还不错，比较热情，还可以借DVD！就是地理位置很难找，不大方便！', 'star': 5}
{'descr': '比较不错 就是不能刷卡', 'star': 5}
{'descr': '情侣园圆床非常浪漫，高脚的桌椅别有独特，酒店设计的非常贴心，就连脚垫也是红色桃心的毯子，整体非常有特点，温馨浪漫！非常适合情侣！如果是圆床的房间，床边的床头柜太小了，只能放些遥控器，这点设计不太合理，还有就是墙不太隔音，我觉得情侣酒店应该再加强一下，但是服务员都特别热情，体贴，每个人都特别亲切，这点做得特别好！', 'star': 5}
{'descr': '什么都挺好，因为床单被子都是红色总是感觉不干净，建议换成粉色的，不能刷卡只能付现金很不方便。', 'star': 5}
{'descr': '不错，非常好', 'star': 3}
{'descr': '位置不好 打车绕了很久又走了很久好不容易才找到 店比较小 装修还不错 但依然缺乏一些个性 电视信号显示效果都不好 网速挺快 总的来说不错就是有一定小贵～', 'star': 3}
{'descr': '电视信号确实不好 不过房间的网速很快 总的来说还是不错的', 'star': 5}
{'descr': '    非常的不错的酒店，服务、卫生、舒适度都特好，环境温馨浪漫，我比较喜欢还能看免费的dvd不错！旁边还有地铁方便，要是能提供免费停车就更好了。支持！！！', 'star': 5}
{'descr': '办了会员卡  以后更加便宜了  房型要选好  你不会后悔的', 'star': 5}
{'descr': '总体来讲没有想象中的好，服务还可以但是不能刷卡，只能交现金，房间里面的布置很适合情侣对于一般的商务就不怎么适合了，很暗很有气氛的那种。床单被罩是红色的，我怀疑没有换过，其它的还好吧，总体来讲一般', 'star': 3}
{'descr': '这家酒店很不错位置也好。。所以我在走的是后海办了张会员卡。。下次我还会去住的。。', 'star': 5}
{'descr': '怎么说呢 位置来讲粉不错 距离光熙门13号地铁不仅近 而且很顺 然后就是酒店很有主题风格 \r\n除此之外 没什么让我满意的 作为一个酒店来讲 它是失败的 有很多地方根本达不到一个酒店所必须的一些东西 比如床巨硬而且能感觉到弹簧 前台说好了1.8x2.0的床 其实是1.5的床 房间不是很小但是利用率不高 卫生间根本不是干湿分离 很不方便 插座少不够用 电蚊香片是用过的 而且往前台要 人家不给 \r\n这个', 'star': 1}
{'descr': '很适合情侣的酒店，很遗憾只是订到普通的大床房，希望下次有机会订到圆形床！貌似隔音有点不好，走在楼道都能听到屋里人说话.....', 'star': 5}
{'descr': '这家酒店感觉很一般，很普通的酒店，而且这家酒店还不能刷卡，特别不方便，所以下次可能会住别的酒店', 'star': 3}
{'descr': '服务态度不好,由于我是二点都的飞机,退房时想再稍微晚一点,放一下东西,服务员说不行,一分钟也不行,我很不满意,而且卫生间的门那有个台阶,晚上很不方便.', 'star': 3}
{'descr': '酒店的装修别具一格，给人比较温馨舒适的感觉。特别是前台的服务非常非常好，到了先送两杯酸梅汤解渴，然后还有免费dvd碟片借回房里看。卫生还不错。设施一般，我住的那间没有电热水壶…和热水打电话叫服务员送才行。浴室非常简单，没有多余的地方放自己带的洗发水沐浴露，洗脸台也比较小，房间内只有一个凳子，行李多的话只能放在地上。不过，如果情侣出来小带点东西还是非常合适住的。', 'star': 5}
{'descr': '酒店比较有特色，服务也比较周到，环境也很好，性价比比较高，比较适合年轻人住，房间环境还可以，位置也比较方便。\r\n更重要的是，我和牛牛在一起，好开心啊。', 'star': 5}
{'descr': '酒店比较有特色，服务也比较周到，环境也很好，性价比比较高', 'star': 3}
{'descr': '就在地铁(轻铁)站200-400米内,出门很方便,内部设施很适合情侣住,我住的是圆床房,里面的桌子实在是太少太小了,行李和用品一律都只能放在地板上(幸好是木地板,感觉还比较干净).浴室能用来放东西的地方也非常的少,如果有稍多的自带用品就比较难放下.酒店有点餐服务,菜还挺好吃的.性价比很好!', 'star': 5}
{'descr': '很适合情侣旅行居住!', 'star': 3}
{'descr': '很适合情侣出去旅行居住，很温馨的小宾馆！', 'star': 5}
{'descr': '酒店比较适合年轻人住，房间环境还可以，位置也比较方便', 'star': 3}
{'descr': '各方面条件环境都还是不错的；酒店挺有自己的特色的；交通也很方便；值得推荐的酒店', 'star': 3}
{'descr': '很不错的有风格的酒店，作为小型酒店服务和设施都还不错，房间也很有特点，房型很多，下次可以试住其他房型', 'star': 3}
{'descr': '这家酒店挺有特点的，服务特别好，环境还可以，位置也比较方便，总的来说性价比还行', 'star': 5}
{'descr': '就是服务员总是敲门或者打电话，询问是否打扫房间，郁闷呀...', 'star': 5}
{'descr': '酒店的位置有点偏了，座公交车不方便的，酒店的房间面积比较小了，服务卫生以及设施都很好的，酒店的价格还可以的。', 'star': 5}
{'descr': '酒店挺有特色的，感觉也挺舒服的，而且他们的硬件设施和服务感觉也挺好的，值得推荐。', 'star': 5}
{'descr': '很有创意的酒店，我入住的时候房型还被免费升级，但是进去以后实际的感觉，却和网上看到的图片差别比较大。房间很小，床也很小！反正是感觉不是特别好。\r\n\r\n而且，由于临时有事，我下午2点入住，4点就决定退房，可是老板竟然不肯给我按小时房算钱，执意按全天的钱。。。虽说是我的不对，可是在这种情况下，一般的酒店都会通融一下的吧。。。', 'star': 5}
{'descr': '酒店很温馨,也很干净,住着比较舒适,性价比也很高.', 'star': 5}
{'descr': '酒店里面的环境还不错,硬件条件也挺好的,就是位置稍微有点偏,不太好找,价格还算实惠.', 'star': 5}
{'descr': '酒店位置不太好不好找,里面设施还是不错,卫生服务也还行.', 'star': 5}
{'descr': '如果第一次去,可能感觉酒店不太好找,酒店的环境还是很好的,很温馨,吃饭也不错,而且性价比也很高.', 'star': 5}
{'descr': '这个酒店是比较有特色，但是房间里的设施装修感觉太零碎了，卫生条件倒是不错，价格也适中，在这个位置算是挺方便的，挨着城铁。', 'star': 5}
{'descr': '我觉的没什么特色,就是一家经济型的酒店,整体感觉还可以了.价格方面还比较合适的.', 'star': 5}
