{'短评内容': '相对于价格来说，各方面都很好。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;房间的设施比较简陋，服务一般，经济型酒店就是这么回事，能经济的都给你经济了，如果不讲究的也可以试试，总比招待所强。周边的商家几乎没有，要走很远，离火车站到是较近。如果晚饭后要散步，对面的环境还是不错的，但是蚊子太多......下次再换个地方住吧。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;&amp;lt;/P&a', '短评打分': 3}
{'短评内容': '经济型的连锁酒店，可以选择入住。就是最近旁边的美林小厨暂停营业了，不知道什么原因。吃饭只好去旁边的美林阁了。呵呵：）如果有饮水机的话，那就更好了。我很贪心哦', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;将就住吧&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我在前台听到苏州台湾人的公司在这的协议价尽然是120元／间。太。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间太小,设施太少了和其他同价位酒店比较。前台的装潢和房间比较完全不再一个档次。没有购物商场，打的也很不方便。下次坚决不住了。和锦江之星比较完全没法比。', '短评打分': 1}
{'短评内容': '我最近是2月14号住的，老客户了，住过多次了，总体来说不错。特别要表扬的是14好那晚值班的服务员和工程部的人，为我换电视机不厌其烦，不错。去苏州是首选。', '短评打分': 5}
{'短评内容': '住的大床间,房间不错,就是卫生间小了点!还有,隔音效果不好,经常听到过道有人走来走去,想安静点都不行!', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;住过很多次，简单作评：&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;1、要住就住商务房，隔音效果比普通房好。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;2、自助早餐希望可以改进一下，品种少，而且都是冷的。&amp;lt;/P&amp;gt;&lt;br /&gt;', '短评打分': 5}
{'短评内容': '不错,房间很干净.离车站也很近.下次还要去.', '短评打分': 3}
{'短评内容': '干净,新,服务也不错. 但是隔音不好,没有浴盆,设施一般.', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;好:1.位置不错,跟汽车站和火车站都很近,走走的话也可以,要打车的话也可以的;&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;2.客房是新开张的,稍微来说干净点.&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;不好:1.酒店登记时候人手太少,服务生速度有点慢;&amp;', '短评打分': 1}
{'短评内容': '挺好的，交通方便，价格不算贵，标间设施给人一种简洁美。店里的一日游也挺方便。不错不错。', '短评打分': 3}
{'短评内容': '这家酒店我几乎每星期都要住一次，累积到现在也住了大概有七八次了。基本上这酒店的性价比还算高，房间还算干净。至于我其它的心得如下： &amp;lt;BR&amp;gt;&amp;lt;BR&amp;gt;1.从火车站或汽车站出来距离尴尬，走路也不是，打车也不是，那就坐三轮车呗，五块钱就能到。 &amp;lt;BR&amp;gt;2.大堂里常常人手不够，要等上半天。 &amp;lt;BR&amp;gt', '短评打分': 5}
{'短评内容': '总的来说，这家酒店给我的第一个感觉是惊喜，连锁型经济酒店竟然能有这样好的设施和环境真的不容易，价格感觉稍高了一点，不过最近苏州的如家好像也全面涨价了，哎，还是住速8便宜，不过速8太远了一点。周围配套设施来说，吃饭不成问题，美林阁和美林小厨都不错，不过周围没有便利店，最近的便利店也要走10分钟。另外，这家酒店到火车站和长途汽车站的距离很尴尬，打车太近，走路有多少有点嫌远。总体来说还是满意的。前面提到', '短评打分': 3}
{'短评内容': '怎么价格涨了，看来得重新挑地方住了', '短评打分': 5}
{'短评内容': '实话,因为看了几个兄弟的发表,我特别留心了一下,押金问题确实有些 我就和老婆住一天 居然要400元押金&lt;br /&gt;\n网线我自己准备了 问题还不大,不过服务员还是有些问题的&lt;br /&gt;\n说实话可能是因为后来在南京的那个通衏长城大酒店实在差了一些,所以我觉得还算不错的,还算是干净舒服的.&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '硬件设施还可以，就是卫生间排水有水漫金山的趋势。至于软件，很值得评论滴，不知道老板是怎么培训员工的，可能是以节约能源为主。您夏天来住根本不用冷气，员工的脸简直是冰冻三尺非一日之寒呀，和英国签证处的中方工作人员有一拼。我向柜台要洗梳用品，不是让顾客自己去拿，就是送来时，门敲的像他们家要死人了似的，就差没把门敲漏了。我定了3天178的房间，收我押金1000多元，当我质疑时，我看到了她的白眼儿。难道我是', '短评打分': 3}
{'短评内容': '一根网线现在15元了，比较的黑！其实普通的大床房和商务大床房的区别就是：后者提供一顿免费的早餐，并且可以借用网线上网，不需要自己买网线。但是在这边用早餐的话自负是15元，网线是15元。如果经常住的话，建议选用普通的大床房，最好还是靠河的，景观比较的好噢', '短评打分': 5}
{'短评内容': '不错，下次和老婆再去：）', '短评打分': 5}
{'短评内容': '郁闷。网线开始收钱了！我坚决反对这种给脸就涨价的妓女态度。不是收钱吗？我自己做。一根网线5块钱，打的花了12块。更郁闷啊。谁想出来的这么收钱？其心可诛啊！', '短评打分': 3}
{'短评内容': '对了，忘了一点：希望这次去，装修味道可以小点了。', '短评打分': 3}
{'短评内容': '的确，性价比极高。我上次去，是178，听说可能会涨价。今天在网上看到还是178，哈哈，再去住。便宜嘛，不占白不占。', '短评打分': 3}
{'短评内容': '我是5月4日入住的,总体印象不错,房间很干净,交通也便捷.特别是美林阁,美味可口,服务也很周到,值得一住.', '短评打分': 3}
{'短评内容': '很不错,值得推荐.性价比比较高,房间也不小,有宽带,适合商务用.', '短评打分': 5}
{'短评内容': '真的很不错，干净，卫生，而且价位不高，比起有些星级宾馆不知要好多少倍。就是美琳阁的菜不对我胃口，太淡了。', '短评打分': 3}
{'短评内容': '总体都很不错,里火车站很进,而且离景点都不是很远.总之就是很好了.', '短评打分': 5}
{'短评内容': '第一次是我对他评价的,谁知道就涨价了,178我表扬了一下就208了,对后来住的朋友我表示歉意!不过价格优势真的没有了', '短评打分': 3}
{'短评内容': '这酒店真不错，有三星酒店的档次，闹中取静，停车出游都方便。', '短评打分': 5}
