{'短评内容': '还好，就是屋子小了点儿。服务，热水都行比较干净。', '短评打分': 5}
{'短评内容': '地理位置非常优越，就在西湖旁边。价格便宜，但是靠马路的房间很吵，早上很早就听到公交车的报站声音。前台小姐服务非常恶劣，特别是晚上check in的时候，态度冰冷，房间网络连不上，问前台告知晚上了工作人员已经下班了，我说那给我们换一个能够用宽带的房间，她却告知帮忙找一个服务员来帮我们看看，后来来了一个眼镜男，把宽带连上去了。客房服务员不错的，勤勤恳恳，兢兢业业。\r\n', '短评打分': 3}
{'短评内容': '地理位置非常优越，就在西湖旁边。价格便宜，但是靠马路的房间很吵，早上很早就听到公交车的报站声音。前台小姐服务非常恶劣，客服服务员不错的。', '短评打分': 5}
{'短评内容': '位置好 设施也蛮好的  如果电视能大点就好了', '短评打分': 5}
{'短评内容': '总体不错，就是临街房间有点吵。', '短评打分': 5}
{'短评内容': '酒店位置非常好，去西湖很方便，就是沿马路，晚上有点吵，特别是窗外的空调外机，过年期间房价有点贵，性价比相对弱了，平时还可以。', '短评打分': 5}
{'短评内容': '蛮不错的，位置和卫生。 不过价格偏贵，要是带早餐就更好了。', '短评打分': 5}
{'短评内容': '房间很别致,格局也不错\r\n大堂感觉小了点,但是考虑到是商务酒店,能理解\r\n地段也不错\r\n总体感觉很喜欢', '短评打分': 5}
{'短评内容': '太吵闹 无法睡觉', '短评打分': 1}
{'短评内容': '不错的酒店，虽然小了点，但是很干净', '短评打分': 5}
{'短评内容': '酒店离西湖比较近，步行10分钟就可以到达西湖边和西湖天地。大堂略显太小，房间整体来说还可以，酒店有免费停车，从性价比来看很不错，标准大床房比较适合家庭和情侣居住。如果想找离西湖较近，性价比又好的酒店的话，这家值得推荐。', '短评打分': 5}
{'短评内容': '离西湖比较近，大概晚上10点多到酒店的，酒店门口有个铁板烧的摊，很好吃~~酒店的早餐也挺不错的~还有免费升级。下次还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店位于解放路，杭州最繁华的商业街，对面就是奎元馆，吃面很好很便宜，距离西湖很近，大约走路5分钟。建议朋友们以后不用要有早餐的房间，楼下就是肯德基，吃早餐很方便。这家酒店的早餐也很丰富，价格38元，稍微贵了点。房间很舒适，就是有些小。', '短评打分': 5}
{'短评内容': '停车场小一点.', '短评打分': 5}
{'短评内容': '位置好，环境整洁，服务一般', '短评打分': 5}
{'短评内容': '此酒店沒有什麼服務可言，向他們問有沒有手機充電器，他們說沒有但竟然問我是誰....客房陳舊，裝修很一般，以rmb$400一晚而言，不會再入住...', '短评打分': 1}
{'短评内容': '位置较好,房间小了些,设施一般.值得入住.', '短评打分': 5}
{'短评内容': '地段还可以，但设施陈旧了，空调不好。房间里冷，酒店给的信息是免费上网的，可最后又说上网收费', '短评打分': 3}
{'短评内容': '酒店比较一般,没有什么特色,不过也没有什么不满意的地方,位置还比较方便吧.', '短评打分': 3}
{'短评内容': '没有在学院路的信价比高。除了地理位置比较好，感受他家的硬件软件都不行。我进房间的时候，卫生间还有水和一根长头发？！不过我订的房间类型空间还是比较大的，网速不快，电视机也是普通的，不是液晶，而且台也没有事前设置好，重复的，模糊的，等等。\r\n\r\n若不是客户的地址比较奥近，以后是不会选择这家的。对了，早餐也没有学院路的那家好', '短评打分': 1}
{'短评内容': '设施一般,较干净.离西湖较近', '短评打分': 5}
{'短评内容': '位置比较好,房间面积较小,空调噪音大,吵人.', '短评打分': 5}
{'短评内容': '房间总体来说有点偏小,床不够舒服,有时可以听到走廊里的声音.但是地理位置是我几次选择该酒店的重要原因,往南可以20分钟走到吴山广场,清河坊美食街,往西10分钟就可到西湖景区,往北25分钟可到武林广场,往东20分钟即可到杭州火车站;以上的时间都是以步行为标准的.有时火车站出来不方便打车,可以到火车站外面乘3站路的公交车即可到酒店,很是方便.', '短评打分': 5}
{'短评内容': '很好的酒店 值得推荐 位置不错周边很繁华', '短评打分': 5}
{'短评内容': '很不错的酒店,值得入住', '短评打分': 5}
{'短评内容': '酒店位置不错，不管去西湖还是去龙翔服饰城逛逛都在步行十分钟以内。我订的行政商务房设施还行，房间蛮大的，特别是浴室的水龙头，洗澡特别舒服。要说缺点就是电视的频道太少，还有地毯有点脏，和房间的整体感觉有点不搭哦。', '短评打分': 5}
{'短评内容': '确实如大家说的酒店的大门真的很沉呢~枕头很舒服，自助早餐可选的品种很少，我住的四季都市房，10层，没觉得吵。酒店边有知味观，奎元馆两家有名的面食店，还有肯德基、必胜客快餐，购物的话解放路百货就在边上，离西湖的一公园只要走7、8分钟吧，从那里坐渡船可以去三潭印月，最近的租自行车点在柳浪闻莺，可以租个自行车游西湖，酒店对面就能存自行车，挺方便的。酒店边就是正在建设的南宋御街，可以一直走到河坊街，晚上逛', '短评打分': 5}
{'短评内容': '该酒店的地理位置非常好,很适合居家旅游.性价比尚可.', '短评打分': 5}
{'短评内容': '舒适度还可以,价格有点高了,其他方面都很一般.', '短评打分': 3}
{'短评内容': '这个酒店的条件也就是一般，位置也不太方便，价格又偏高，我觉得他的硬件条件也不是特别好。', '短评打分': 3}
{'短评内容': '一般感觉', '短评打分': 1}
{'短评内容': '因为酒店有些陈旧，所以感觉不是很干净。可能是酒店的地理位置好吧，所以感觉价格贵了点。', '短评打分': 3}
