{'descr': '好的', 'star': 5}
{'descr': '酒店的门脸实在是很不起眼，对于外地人来讲不是很好找，但是距离地铁，商业中心外滩都不算很远，特价房有窗户，就是太小了一点，因为是就住一晚休息，还算满意，特别提示酒店的前台在二楼，一楼只有门卫和电梯。对得起这个价格了。特别不满意的是卫生间的毛巾都有异味，实在是让人不舒服。希望酒店能够改进。', 'star': 5}
{'descr': '除了地点，非常一般', 'star': 3}
{'descr': '房间太小，还赶上线路检查，空调不好使，电视也看不了。虽然不是酒店的错，赶到一起难免影响心情', 'star': 5}
{'descr': '一年前曾经入住该酒店，可能是那个时候比较新，所以房间装修，洗手间还是不错的。但该酒店的位置太好了，入住率比较高，所以房间的折旧也非常快。这次再住这里就得就很不爽，什么感觉都是旧旧的，一点都没有其它莫泰酒店的感觉，跟2星级的宾馆没有什么区别。我住的是4楼（就说跟前台同一个楼层）房间的隔音效果非常差。按照这个价格，以后都不住这里了。注意：我住的还要是最贵的商务套间，通常这种房应该相对没有其它标间的开房', 'star': 1}
{'descr': '酒店卫生服务都还好，建成时间有些早了，位置很好距离外滩很近，价格算是合理适中的，值得推荐入住。', 'star': 3}
{'descr': '酒店的地理位置是非常好的，其它的房间的配置硬件设施都比较一般，卫生服务也比较达标的，要是图方便的话还是可以考虑入住的。价格也比较合理。', 'star': 3}
{'descr': '位置还不错，就是房间小点', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间不大，卫生太差，毛巾都有一股异味\r\n\r\n地理位置及佳', 'star': 5}
{'descr': '离市中心近，位置好，也算干净，就是房间小了点。', 'star': 5}
{'descr': '肯定以后不会去住那里了，真是太糟糕了,特价房在一个角落里,窗帘脏得要命,这个勉强可以接受,但是被子几乎是潮湿得一塌糊涂,走廊是走上去会&quot;孔孔&quot;响的那种,虽说大位置还可以,很市中心,但是酒店的位置实在太偏,晚上玩好回来居然打的绕了2圈才找到,房卡上面写&quot;莫泰168&quot;酒店大招牌写着&quot;莫泰268&quot;真是连出租车司机也摇头的地方', 'star': 1}
{'descr': '我们是几个同学一起去的，有7个人。本来学生也没很多钱，在网上看中了这家，是因为其地理位置很好，而且我们打算订两间房间，几个人摊下来就很便宜了。但是，因为不了解，所以就暂时定了一间房间。在网上是308元一晚，不是网上预订的话要318元。网上预订的过程倒是很简单，也很快就搞定了。\r\n    7月30号中午的时候到了，我之前也在网上查了评论，好些人都说服务不好。亲身体验之下觉得还行，可能之前已经有了心理', 'star': 5}
{'descr': '酒店的位置靠近外滩，很方便，价格也适中，性价比可以', 'star': 3}
{'descr': '房间蛮小的，一对比，卫生间倒显的大了\r\n总的来说还可以，离外滩蛮近，隔壁就是南京路，还不错的。', 'star': 5}
{'descr': '酒店的住宿条件不好，房间比较潮湿，酒店的价格比较高了，酒店的位置不错的，交通很方便的。', 'star': 1}
{'descr': '房间太小了！', 'star': 1}
{'descr': '酒店的前台人员服务态度很差,其他的住宿条件也都挺一般的.', 'star': 1}
{'descr': '酒店的环境挺好的，地理位置也比较理想，离外滩也比较近，就是价格点贵，不过可以选择的。', 'star': 5}
{'descr': '位置很好,房间里面环境也还可以,就是快捷酒店,住着挺舒适的.', 'star': 5}
{'descr': '酒店的房间太小了,设施一般,比想的要差一些,卫生和服务也都一般,位置不错出行还挺方便的.性价比一般.', 'star': 1}
{'descr': '房间比较干净。有一点不好，就是我是预定了两间同样的房间，一间房间窗户大，另一间窗户只有一扇比较小。酒店的位置在南京路那边很方便', 'star': 5}
{'descr': '半夜入住，前台在二楼，告知房间在顶层，需要走一节楼梯，房间很矮，应该是阁楼隔出来的，床很小，两个人有些挤。窗户很小，对着旁边楼很脏的楼顶。位置还可以，到南京路和外滩比较方便。服务一般，我退房时想寄存行李，借口没有位置不想给存，没有主动为客户服务的感觉。坚持下，才给腾了点地方存了。', 'star': 1}
{'descr': '这个酒店的位置交通不是特别方便，打车要走出去一段，而且房间里不能上网，房间也很小，虽然挺干净的，但是综合条件来说我觉得价格有点贵。', 'star': 1}
{'descr': '设施条件挺舒适，价格也很优惠，整体感觉很不错', 'star': 5}
{'descr': '酒店房间里面环境陈旧,墙面已经掉皮了,窗子很小.其它方面还都可以,位置很好,服务也不错的.', 'star': 5}
{'descr': '酒店整体还是不错的,干净舒适,价格也适中；也很符合我的要求；值得推荐一下', 'star': 5}
{'descr': '整体感觉挺好的，卫生服务都不错，位置特别好，外出方便，相对于这个位置价格也是比较合适的', 'star': 5}
{'descr': '其实酒店的位置很不错，挺方便的，内部的人员服务也挺好，比较干净，就是房间太小了，很不舒服。', 'star': 1}
{'descr': '酒店的服务还不错，而且位置好，离外滩不算远，交通也比较方便，整体的环境挺好，硬件设施感觉也挺舒服的。', 'star': 5}
{'descr': '因为自己很注重酒店的装修和卫生条件，这家酒店给人的第一感觉还是不错的，就是房间有些小', 'star': 5}
{'descr': '因为自己很注重酒店的装修和卫生条件，这家酒店给人的第一感觉还是不错的，就是房间有些小', 'star': 5}
{'descr': '还不算最差的了,自助服务了前台的脸有点臭!', 'star': 1}
{'descr': '酒店的位置非常好,环境硬件设施都很不错,就是房间面积非常小也许是因为位置寸土寸金吧,感觉房间非常狭小.不是很舒适.', 'star': 5}
{'descr': '这是我迄今住过的最差的,258一间的大床房,房间小的离谱,竟然连(衣架,吹风机等都没有)还没有早餐.虽然地段不错,但相比附近几家酒店,同等住房价钱高出100大元.这还不说,连个停车位也没.停在酒店门口过夜要交100元停车费.大家可以算算358的价钱,估计住哪都比这好,至少早餐,停车不用担心了.不过它的卫生间还是不错的,够大.', 'star': 1}
{'descr': '卫生间挺大的，热水很好，床也挺大，1.8米宽，就是房间比较低，窗外是别的建筑的屋顶，看不到什么东西，隔音确实很差，想做点什么的朋友会没有安全感，嘿嘿，另外床和床垫之间有突出物，经常碰到脚踝，挺疼的，没顾上提意见，希望这个酒店的老板看到后改进一下，我碰过两次，我儿子碰到n次！对北方人来说吃饭不太方便，楼下很近的地方有个福建的连锁餐馆，每人30-40元的套餐，反正不太符合我的口味。\r\n位置算不错，步行', 'star': 5}
{'descr': '服务卫生还是不错的,就是设施老旧些了,价格也挺合适的.', 'star': 1}
{'descr': '刚刚看到酒店的时候 就象一栋老式上海建筑\r\n只是地理位置靠近南京路罢了\r\n推开窗户看到是对面的民房走廊\r\n离着很近的样子\r\n房间也很小 只能容纳下一张大床\r\n洗手间都在门后面……\r\n但是就上海方便的地铁交通而言\r\n258一晚住这里性价比不高\r\n如果有协议价完全可以比这个好很多', 'star': 5}
{'descr': '我住的是258的房间,希望比起步价的那种好一点,可是感觉进去了也不过如此,一进门就是床,隔音又差,床垫还会陷下去的.睡着很不舒服.\r\n早餐还是到楼顶上露台搭的一个类似茶馆的地方吃的,很一般很一般.\r\n除了位置离南京路近点,其它没什么优点.', 'star': 5}
{'descr': '房间有点小，床垫挺软的，挺舒适的，酒店在外滩附近也比较方便', 'star': 5}
{'descr': '我们出来的时候让他帮忙安排车送我们去机场，他们竟然让我们自己叫，不方便，如果他能提供叫车，接送或者旅游景点信息就好了，不过这里的位置和硬件设施卫生都还可以。', 'star': 5}
{'descr': '酒店的设施比较简陋，不是特别好，但酒店的服务，环境都挺好的，很干净', 'star': 5}
{'descr': '酒店的地理位置挺好的靠近外滩附近,价格也挺实惠的,就是房间面积小点.', 'star': 5}
{'descr': '基本就是招待所的旅店，感觉像加盟商似的。&lt;br /&gt;\n&lt;br /&gt;\n没好好打理。其实这个位置可以做的更细致些的。', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '位置是真的还不错&lt;br /&gt;\n离南京路非常近，去外滩也很方便&lt;br /&gt;\n但是本来看到网上写了特价房198，于是订了&lt;br /&gt;\n打了车司机不知道在哪里&lt;br /&gt;\n于是想打电话去酒店求救&lt;br /&gt;\n电话怎么也打不通&lt;br /&gt;\n后来被司机放下&lt;br /&gt;\n自己找了很久才找到&lt;br /&gt;\n进了门没有大', 'star': 3}
{'descr': '地处外滩附近,虽然是由老楼改造而成,设施还是不错的,价位也比较适中,唯一的遗憾就是没有停车位,自驾的朋友停车是个问题。', 'star': 5}
{'descr': '位置还行，就是难找了点，离南京路步行街的地铁站大概几分钟我住的大床房B，剩余的地方就不大了，两个人在里面就转不过来了。&lt;br /&gt;\n有同感。。。。。&lt;br /&gt;\n还要增加几点，隔音太差，电视只有几个台，吹风机还要去问服务台拿，太麻烦，这次我去住，上面还有点脏，被子上，想想算了，住一个晚上。。。。&lt;br /&gt;\n如果在给我一次机会，我基本上不会选这家！！258还没以', 'star': 3}
{'descr': '我说的服务好,完全是楼下工作人员服务好,指路指的很清楚,还非常热情.但前台就差多了,订的228被告之没有,改订的258.房间不大,床占了很大的地方,活动地方很小,被单有块黄,换了以后新被单竟然有块湿脚印,有点介意.卫生还可以,洗手间很干净,地理位置不错,去哪都不远,总的来说还可以,下次去上海应该还会选择这里.', 'star': 3}
{'descr': '总体应该用还不错来形容吧，从虹桥机场打车过来，刚刚好50块钱，和LG讨论这个价钱在外滩住店会不会是个很糟糕的酒店，但是出乎意料的是，这是个有着欧式外形的，温馨的小酒店。只是不理解为什么门面要写上268的字样，而且前台在二楼。我们住的是288一晚的房间，还是挺舒适的，就是酒店有两层窗户，外面的还缺两块玻璃，但是里面的还可以。地理位置比较好，傍晚和LG一起走路去外滩，只用了20分钟左右。挺好，挺温馨的', 'star': 5}
{'descr': '总体感觉还是很不错的。地理位置还行，离南京路步行街的地铁站大概几分钟的路，离外滩也很近。就是难找了点，门脸大小，还挂着268的牌子，让我犹豫了一会，还有房间太小了。我住的大床房B，放一张床在中间，剩余的地方就不大了，两个人在里面就转不过来了。', 'star': 5}
