{'descr': '房间小，设施不够全面，空调不好用', 'star': 4}
{'descr': '还不错，我住的是迷你间，除了小一点之外，其他都挺好的，主要是冲着有电脑去的！电脑速度还可以！', 'star': 5}
{'descr': '选择这家酒店最大的原因应该是价格便宜，离城战近，还有相对于其他小宾馆干净很多吧。下次来杭州还是会继续住在这里的', 'star': 5}
{'descr': '我还没有退房，酒店就安排装修工人，在我不在的时候，进我房间装修，实在是欠妥。。。', 'star': 1}
{'descr': '离单位很近，走路就可以到了，房间很干净舒适，值得长期住。', 'star': 5}
{'descr': '1、酒店位置非常好，就位于城战火车站以西约300米。\r\n2、房间内设施比较齐全，设计比较人性化。\r\n3、尽管靠近马路，但是早上车马声音不是很吵杂。\r\n4、总体来讲酒店的性价比较高，值得推荐。', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '房间的床和洗淑台基本靠在一起的，服务一般，地段还可以', 'star': 3}
{'descr': '离火车站很近，房间也还行，总体来说性价比不错。', 'star': 5}
{'descr': '非常迷你型的酒店', 'star': 5}
{'descr': '服务还是比较满意,位置还是比较好找的,房间的卫生和设施还是比较不错的,性价比还行,挺好的.', 'star': 3}
{'descr': '整体感觉很好，卫生服务都还可以，离城站、西湖都比较近，交通很方便。', 'star': 3}
{'descr': '位置还是不错的,位于火车站附近,出行都很方便,但就是房间的硬件设施太陈旧了,感觉不太好.', 'star': 3}
{'descr': '酒店离火车站很近 床挺大 总的来说还是不错的 ', 'star': 5}
{'descr': '房间不错~~尤其是商务房~~~~', 'star': 3}
{'descr': '经常住这里~性价比很高！这次帮朋友定的~朋友也很满意', 'star': 5}
{'descr': '不错，下次去杭州还去那住', 'star': 5}
{'descr': '感觉很旧，服务不是很周全。入住前多看看房型，以免多花', 'star': 1}
{'descr': '我住的房间很小,设施还算齐全但是有些老旧尤其是卫生间,有些破损,位置比较好交通还算便利.', 'star': 3}
{'descr': '已经不止一次入住该酒店了，离城站近，交通方便，出门右拐就能直到河坊街，服务态度好，10.11号订的，一到就能很快入住，比起上海这家简直太太好了，总之，到杭州还是住这家，真的不赖，房间还是9月份住过的房间，希望下次入住能换个楼层房间住住，感受不同氛围。', 'star': 5}
{'descr': '酒店位置好，离城站不到1站，可以走路赶火车，离河仿街也很近，不到1000米把。走廊的噪音没有其他人说的那么吵，但是因为延街，晚上要关窗开空调才能睡好。服务还行，就是加一床被子要收10元/晚，不合理。', 'star': 5}
{'descr': '还行`', 'star': 5}
{'descr': '这酒店很好.很不错的.', 'star': 3}
{'descr': '房间小了点，12平方左右，其它都不错。', 'star': 3}
{'descr': '酒店离杭州火车城站只要步行10分钟，公交汽车很方便，酒店卫生很好，设施也完备，下次也住这里。', 'star': 5}
{'descr': '房间的卫生和设施方便都很好,住着还是比较舒适的,酒店的位置也可以,离火车站很近,但如果是到旅游区的话就不太方便了,还有一点就是酒店没有早餐,感觉不太好.', 'star': 3}
{'descr': '位置很好~很方便~房间也很舒适~虽然小了点~但是价格便宜~', 'star': 5}
{'descr': '很舒适，位置也不错，离火车站很近。房间也较宽敞。就是我网站定时，使用了优惠券，但是入住交款时，前台还是收我原价', 'star': 5}
{'descr': '离火车站和步行街都蛮近的，店内的设施良好，房间干净，本人已经入住过很多次了。', 'star': 5}
{'descr': '服务还好，价格合理，周边出行交通也还比较便利，住的还比较舒适，', 'star': 3}
{'descr': '前台服务非常热情，也很周到，就是房间面积有点小，卫生和设施都还不错，我觉得这家酒店性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '性价比极高的酒店，无论位置还是卫生程度，服务也很好。', 'star': 5}
{'descr': '酒店的位置很不错，交通特别方便，而且内部的环境和硬件条件我觉得也挺好的，相对来说还是比较满意的。', 'star': 3}
{'descr': '酒店靠近火车站出行方便,但是房间非常小很不舒服,卫生服务这些也都不怎么样,今后还是选择如家这种经济型酒店.', 'star': 3}
{'descr': '相对还是比较好的。就是位置有点偏了。', 'star': 5}
{'descr': '总体感觉还不错，住的是休闲标间，总体感觉比网上其它人评奖的好，房间也不觉得小，就是在火车站很方便，旅游的推荐这个1', 'star': 5}
{'descr': '位置不错，对得起这价格。', 'star': 1}
{'descr': '酒店距离火车站很近，位置、卫生、服务都很不错，上午到的比较早直接就入住了，很方便。', 'star': 3}
{'descr': '酒店位置、卫生、服务都很不错，房间虽小，功能不少，1.3米的床还是很舒适的。唯一美中不足就是在马路边晚上不够安静，性价比还是很好的。', 'star': 5}
{'descr': '离城站火车站很近，也就四五分钟路程。休闲大床房住得比普通标间舒服，两个人睡都没问题。服务也很到位。下次有机会到杭州，还会考虑住这里。', 'star': 5}
{'descr': '位置不错，火车站走过去10分钟左右.房间小巧干净，如果对房间宽敞度要求不高的话，还是很合适的。', 'star': 5}
{'descr': '我觉得酒店还是不错的，硬件环境和服务都很好，我这个人也不太挑，都不错，而且挨着火车站，交通也很方便，价格虽然比他们酒店自己的会员价格高一点点，不过还是可以接受，也比较 优惠的。', 'star': 3}
{'descr': '首先位置不错，如果在城站下车，出站后步行6、7分钟左右可到，公交车线路很多，到市区逛街购物或者去西湖游玩都很方便。其次酒店设施比较舒适干净，经济型酒店的设计，不过浴室还算大。最后呢，前台服务还比较亲切，退房结算也很快。就是房子都会临街，有点小吵，还可以忍受，建议楼层住稍高点。总之还是非常推荐，挑剔的妈妈也说还不错。', 'star': 5}
{'descr': '酒店的位置还不错，但是感觉酒店比较老了，里面的东西有点旧，而且服务环境一般，不是特别好。', 'star': 3}
{'descr': '酒店是很不错的.但很难预定到的.都说杭州旅游城市有个习惯就是散客说说满房的.因为他们喜欢的是团队.真靠散客不是客啊.希望以后这家酒店散客团队一视同仁.', 'star': 1}
{'descr': '交通方便，环境很舒适', 'star': 5}
{'descr': '酒店的服务一般，设施还可以，卫生还可以的，房间的面积很小的，酒店的位置以及交通都很好的。酒店的价格还可以的。', 'star': 5}
{'descr': '酒店的整体感觉不错的，设施服务卫生都很好的，酒店的位置还可以的，出行很方便的，价格有点高了', 'star': 5}
{'descr': '位置离火车站比较近,出行很方便.而且是家新酒店,环境不错,设施也比较新,就是有些面积小.', 'star': 5}
{'descr': '地理位置在市中心。但是距离我出行的地方有些距离，房间的硬件设施都还不错。价格合理适中，服务比较一般，下次过去的话可能会考虑其它酒店的入住。', 'star': 1}
{'descr': '不错，离火车站很近，相当方便。游览西湖也不远。', 'star': 5}
{'descr': '整体感觉酒店比较一般，房间有点小，环境还可以，离火车站比较近', 'star': 5}
{'descr': '这家酒店还可以，价格不是很高，环境也还行，大部分服务人员服务也挺不错的', 'star': 5}
{'descr': '离城站还算近,酒店比较新,就是房间有点挤,隔音效果不是很好,总得来说性价比还好,下次去城站附近的话，我还会选择住这里的', 'star': 5}
{'descr': '酒店整体不错，但是不是每天都打扫卫生，价格在杭州还算便宜，位置还是挺方便', 'star': 5}
{'descr': '酒店的装修类似连锁酒店，服务还是挺到位，离火车站挺近，交通挺便利的，接朋友很方便', 'star': 5}
{'descr': '整体感觉不错，性价比合适，新开业不旧的酒店，设施蛮新的', 'star': 5}
{'descr': '酒店里面环境很干净,设施也很全,只是电脑和电视转换使用说明有些模糊.针对酒店环境这个价格还是很合适的.', 'star': 5}
{'descr': '他这里就是卫生间和洗浴间比较小，其他的环境和设施都不错，服务也挺好的，交通比较方便。', 'star': 5}
{'descr': '酒店总的来说都还可以,因为没有待多长时间,所以没有什么太多的感受,但是感觉被单稍微有点潮,不过也还能接受,价格也蛮合适的', 'star': 5}
{'descr': '酒店的硬件设施还可以的,酒店的管理不是很好的,卫生以及服务都一般化,酒店的位置很不错的', 'star': 5}
{'descr': '酒店很新，设施新，价格合适，内部的格局还可以', 'star': 5}
{'descr': '酒店的房间卫生蛮好的,服务也比较热情,而且地理位置也很理想,价格很便宜', 'star': 5}
{'descr': '酒店的服务挺不错的，硬件设施也还可以，但是我住的那个房间窗子关不严，其他的都还不错，而且他挨着火车站，交通很方便，价格也挺便宜的。', 'star': 5}
{'descr': '酒店的地点不错,服务也很好,不过房间的格局不是很合理,浴室的与马桶只有一块很窄的玻璃隔着,所以水很容易就溅出来,房间里的被套是大红了,虽然很禁脏,但是不是很显干净,不过酒店的交通确实很方便,性价比也蛮高的', 'star': 5}
{'descr': '酒店的硬件设社差了一点,但是酒店的服务卫生都还可以的,酒店的位置临街,吵了一点,但是这个可以理解的,整体来讲,酒店还可以', 'star': 5}
{'descr': '虽然很小，但是各种设备很完善，住的很舒服，唯一的缺憾就是有点靠路边\r\n不过交通很方便，下次还会去住的', 'star': 5}
{'descr': '酒店离火车站及河坊街很近，房间干净整洁，价格合理', 'star': 5}
{'descr': '环境不错，服务很周到，但酒店的价格有些贵，如果在便宜点就更好了', 'star': 5}
{'descr': '挺干净，服务态度也好，离火车站和河坊街特色一条街都很近。', 'star': 5}
{'descr': '住的休闲标准房，房间很小，隔音也差，服务不怎么样了，当晚宽带十一点才能用，害得我机票网上都没法定', 'star': 1}
{'descr': '酒店很小，房间也很小，隔音不好。房间里面“小东西”挺多，感觉象是“炮房”多些（床上用品竟然是红色的），去西湖景区有些远，要打车，刚好起步价。好处是价格比较低，交通方便。', 'star': 1}
{'descr': '酒店很好很强大，装修非常现代化！推荐入住！', 'star': 3}
{'descr': '去杭州旅游最佳宾馆！首先地理位置好，出城站火车站往右步行5分钟即可，距离河坊街美食街只需10分钟步行，在火车站坐K7游览西湖特别方便，基本不用打的，环境特别温馨，房间比一般同等价位经济型酒店大，设施比较新，而且非常人性化，没想到房间还有吹风机，下次再有机会去杭州，一定继续在这住！', 'star': 5}
{'descr': '酒店环境不错，干净整洁，服务也不错，不过要是想去西湖玩的话就得打车了，有点远', 'star': 5}
{'descr': '房间面积有些偏小,不是很宽敞.酒店的环境比较鲜艳,我非常喜欢酒店的设计五颜六色的非常现眼,感觉很好.距离车站比较近.出行交通方便,以后还会选择这一家.', 'star': 5}
{'descr': '酒店的卫生服务都很不错,硬件设施很一般房间面积比较小,位置交通很不错价格也很优惠.', 'star': 5}
{'descr': '靠近城站，步行大约5－10分钟。新酒店，很干净。虽然酒店没有免费早餐，不过周围蛮热闹的，早点店很方便，10块钱之内就能搞定。特价房稍微小了一点，不过出差，商旅还是蛮不错的选择。', 'star': 5}
{'descr': '酒店的设施比较新，挺舒适，就是隔音效果有点差，在房间里有时能听到楼道里的声音，不过总体还算是性价比高的酒店', 'star': 5}
{'descr': '各方面都很不错，尤其是位置和价格，位置在火车站附近，我过去很方便，价格也很合理；', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
