{'短评内容': '房间不大，地理位置方便', '短评打分': 2}
{'短评内容': '位置不错，服务也很好，就是单人间空间有点小！', '短评打分': 5}
{'短评内容': '单人房比较不错，有大床，但标间不提供大床，这点有点不满。\r\n早餐还不错，毕竟是酒店专门提供的', '短评打分': 5}
{'短评内容': '酒店的自助餐确实不错 价格也不贵', '短评打分': 5}
{'短评内容': '还算干净，但是单人间房间比较小，有点压抑。淋浴间跟马桶没有隔板，这个不好。不过早餐不错，自助餐，品种很多，爽死了。', '短评打分': 5}
{'短评内容': 'good breakfast ', '短评打分': 3}
{'短评内容': 'good breakfast', '短评打分': 5}
{'短评内容': '好 ', '短评打分': 5}
{'短评内容': '性价比高 但是大床房比较小  有些旧了', '短评打分': 3}
{'短评内容': '市中心，附近有大型超市和娱乐中心。美中不足的是房间小了点。', '短评打分': 5}
{'短评内容': '总体较满意，对得起这个价格', '短评打分': 5}
{'短评内容': '不错，下次还来...', '短评打分': 3}
{'短评内容': '还不错，值...下次一定还去....', '短评打分': 5}
{'短评内容': '都说早餐好，那真的值这价格。老酒店旧、破、脏，后面是小鞋厂白天进出货有些吵，地点离温州市中心都很进，还算方便。旁边同性质酒店有二家，去看过都差不多。', '短评打分': 5}
{'短评内容': '早餐网上其它网友说的那么好，也许去的太晚的缘故，都没什么吃的了\r\n第一天晚上住那里，隔壁太吵了，半夜一群人在那里乱叫', '短评打分': 5}
{'短评内容': '还不错，早餐厅好的！', '短评打分': 5}
{'短评内容': '酒店确实挺不错的，而且态度也挺好的，位置相当的好，离市区很近，在温州算是较为划算的酒店了', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 3}
{'短评内容': '服务一般，早餐还是不错', '短评打分': 1}
{'短评内容': '觉得这个价位还不错,一切不好不坏.早餐的确是好.\r\n另,前台有一位态度有点不好,不过不影响啦', '短评打分': 5}
{'短评内容': '价廉物美，很舒适，很干净。\r\n\r\n值得一提的是，早餐真的很不错！', '短评打分': 5}
{'短评内容': '很好！我已多次入住', '短评打分': 5}
{'短评内容': '经常住，除了早饭没什么推荐。', '短评打分': 5}
{'短评内容': '每次去温州必住的酒店', '短评打分': 5}
{'短评内容': '酒店早餐是星级自助餐享受，非常好！位置也很中心，比较便利。但房间设施很一般，适合旅游住宿，不适合商务洽谈，在温州应该是可以推荐的酒店。', '短评打分': 5}
{'短评内容': '早餐还可以，床也不错，后面有点噪音', '短评打分': 5}
{'短评内容': ' 看上去很旧而且房间的隔音也不好', '短评打分': 1}
{'短评内容': '超值的早餐，提升了性价比，但是多次问总台拿电源插座，总没有', '短评打分': 5}
{'短评内容': '晚上易受电话骚扰', '短评打分': 1}
{'短评内容': '房间和卫生间都很小，但还干净。前台有提示早餐的位置和时间，客房服务员不是很有礼貌。如其他评论所说，早餐确实超值。', '短评打分': 5}
{'短评内容': '早餐很好，其他一般', '短评打分': 5}
{'短评内容': '我基本在温州市区就是住顺生之星，这里的各种设施情况都一般，靓点就是早餐，说实话每次住顺生都是为了她的早餐，房间能睡觉就好，但是也有一点小问题，就是吵点，背面是个卖鞋的批发市场，早上很早就是被卷帘门的声音吵醒，对不愿起早的朋友可能不太合适，靠近马路的一面车流量比较大，声音也比较吵，如果顺生能把玻璃做成双层隔音的话就没有缺点了。以后去温州首选还是顺生之星。', '短评打分': 5}
{'短评内容': '位置很好，交通方便。服务周到。', '短评打分': 5}
{'短评内容': '不但位置好，这个酒店因为紧靠大酒店，所以在很多方便有更多的牵连，比如早餐就是在那边吃的，比较丰富，是个值得推荐去的地方', '短评打分': 3}
{'短评内容': '不但位置好，这个酒店因为紧靠大酒店，所以在很多方便有更多的牵连，比如早餐就是在那边吃的，比较丰富，是个值得推荐去的地方', '短评打分': 5}
{'短评内容': '很不错的酒店，就是房间小了点，自助餐很不错。是我住过的酒店最好的自助餐', '短评打分': 3}
{'短评内容': '酒店性价比很好，卫生条件不错。下次还会入住', '短评打分': 5}
{'短评内容': '四星级早餐是它最大的特色，但卫生状况一般，床上时有体毛残留！', '短评打分': 5}
{'短评内容': '住了好多次了&#183;&#183;就觉的早饭很好吃&#183;&#183;', '短评打分': 3}
{'短评内容': '早饭很好吃&#183;&#183;环境一般', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '就是位置偏了点点，不过总体还是很不错的。飘过继续', '短评打分': 5}
{'短评内容': '在温州中已经算不错的 住的挺舒适的!就是隔音效果差了点!那个该死的广告名片满多的!!这样的价格可以住这样的酒店已经很好了!早餐很不错!!很好吃!呵呵!', '短评打分': 5}
{'短评内容': '早餐果然不错，就是位置临街，晚上到12点后还是很吵。', '短评打分': 5}
{'短评内容': '标间的床也太硬了吧，晚上醒了好几次。酒店在温州主要道路边，所以晚上噪音较大，有点影响休息。不过早餐确实很好，在傍边的顺生大酒店吃。', '短评打分': 1}
{'短评内容': '性价比很高，早餐丰盛', '短评打分': 3}
{'短评内容': '干净整洁，早餐非常棒。', '短评打分': 5}
{'短评内容': '传说中的早餐果然不错,用餐是在边上四星的顺生酒店里。卫生间毛巾浴巾很新很干净，就是淋浴没有单独隔离，而是紧靠马桶和台盆的，洗澡一不小心就会把边上的马桶和周围的地面弄得湿嗒嗒的。', '短评打分': 5}
{'短评内容': '地方还好，离五马街还是有些距离的\r\n早饭超赞，别的其实就一般了\r\n', '短评打分': 5}
{'短评内容': '早饭挺好的，设施陈旧了点', '短评打分': 1}
{'短评内容': '早饭很丰盛，就网速慢的可以', '短评打分': 3}
{'短评内容': '非常适合商旅,性价比很高', '短评打分': 5}
{'短评内容': '靠近马路晚上太吵闹了', '短评打分': 1}
{'短评内容': '单人房和照片上的完全一样，连墙上的图片都一样', '短评打分': 3}
{'短评内容': '房间设备还可以，就是隔音效果差，反锁的链子都没有。早餐不错，尤其是那个香芋味的丸子好吃哦！', '短评打分': 5}
{'短评内容': '这家酒店的位置不错，交通比较方便，自助早餐是在四星顺生饭店，与其它相同价格酒店相比，不错。', '短评打分': 5}
{'短评内容': '温州酒店都很贵,唯独这家算的上是性价比最好咯~', '短评打分': 5}
{'短评内容': '整个设施旧了点，不过价位较低，凑合吧', '短评打分': 1}
{'短评内容': '客房服务很好，这样的价位这样的早餐很超值，在温州这样的环境 这样的价位 本人比较满意了', '短评打分': 5}
{'短评内容': '卫生还可以，就是卫生间设施陈旧，看着比较不舒服，服务还可以，性价比也不错', '短评打分': 3}
{'短评内容': '卫生服务方面都很不错,而且离我办事的很近,比较方便,但就是前台服务人员不太热情.', '短评打分': 3}
{'短评内容': '温州的酒店不是超贵就是超烂，这是算是还好啦。特别是早餐，跟4星的顺生酒店一样的。', '短评打分': 5}
{'短评内容': '总体感觉温州的快捷酒店住宿性价比不高，所以这家也不能算不好，反正设施一般，不过价格也便宜就是了。\r\n早餐的标准比较高，是主楼的档次。', '短评打分': 5}
{'短评内容': '经济型酒店，还不达3星标准，特别是设施落后了。但卫生确实做得好，干净，而且总台服务态度很好。更值得一提的是早餐是在4星级那边，特别好。', '短评打分': 5}
{'短评内容': '总体来说还行吧。早餐挺丰盛的，还好。', '短评打分': 5}
{'短评内容': '早餐较好，性价比还可以', '短评打分': 5}
{'短评内容': '挺好 就是房间小 但是很舒适', '短评打分': 3}
{'短评内容': '早餐很棒，有点旧，不过地理位置很优越，还是值得推荐的', '短评打分': 3}
{'短评内容': '酒店地段不错，出行方便，周边有温州最繁华商业区。卫生、服务条件还过得去，早餐不错。总体来说，住那里挺方便的。', '短评打分': 3}
{'短评内容': '优质的酒店', '短评打分': 5}
{'短评内容': '自助餐还不错。', '短评打分': 3}
{'短评内容': '非常不错，早餐很好，但是有时会有宣传页从门缝塞入房间', '短评打分': 5}
{'短评内容': '地段好，早餐好，不好的就不说了', '短评打分': 3}
{'短评内容': '名字不错，早餐不错，其他的一般般', '短评打分': 5}
{'短评内容': '房间暖气有问题，门即使锁上也关不紧，门缝还可看见走廊透进的光，让人没有安全感。服务人员讲话态度不好。需要水单者请记得要自己&quot;当场&quot;&quot;主动&quot;要，日后请其传真水单，还要自付费用。从未遇过饭店如此！', '短评打分': 3}
{'短评内容': '设备一般般，服务冷淡。房间隔音极差，半夜走廊有人走动声音十分清晰，早上就被鞋店运货的声音吵醒。下次不会再住！', '短评打分': 1}
{'短评内容': '位置挺好的，出行交通便利，价格也还适中，就是设施比较陈旧了', '短评打分': 3}
{'短评内容': '卫生很好很干净，服务人员态度热情周到，设施完善，交通地理位置放，性价比不错的酒店，下次还会入住', '短评打分': 3}
{'短评内容': '很好，早餐五星级的，房间还不错，推荐！', '短评打分': 5}
{'短评内容': '感觉不错，价格优惠，尤其是提供的自助餐很好，过两天还会住这', '短评打分': 3}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '其他还行，就是我的房间跟一个鞋市场太近，早上5点多就被吵醒', '短评打分': 5}
{'短评内容': '酒店还好,挺干净的,而且交通方便,不过感觉适合自己住,和家人住可能要选择更加舒适的了.', '短评打分': 3}
{'短评内容': '快捷中就算挺好了', '短评打分': 5}
{'短评内容': '是一家四星酒店的附属经济型酒店，设施还行，但是卫生条件和舒适度还差些，希望能努力改进。', '短评打分': 5}
{'短评内容': '房间较为简陋，但地理位置优越，性价比高', '短评打分': 5}
{'短评内容': '靠马路，太吵了，无法入睡1', '短评打分': 1}
{'短评内容': '酒店性价比很好,配套设施齐全.', '短评打分': 5}
{'短评内容': '因为有好的早餐，单人房性价比还是有的，设施陈旧', '短评打分': 3}
{'短评内容': '标房设施陈旧，电视只有21寸的老式电视，看着很累，卫生间小，晚上蚊子很多，还算安静\r\n对比单人间偏贵，性价比不高，除了早餐好点，别的就一般般了', '短评打分': 5}
{'短评内容': '靠近马路，门窗隔音太差，晚上太吵，电视机太小，188元，感觉太贵了', '短评打分': 1}
{'短评内容': '比较理想民，可以接受', '短评打分': 3}
{'短评内容': '地理位置交通方便，购物之类的都很方便的。卫生服务也都很好，性价比比较高的。', '短评打分': 3}
{'短评内容': '酒店设施比较陈旧，墙纸很多破碎，好难看，电视机太小，眼睛看了累，房间密封度不好，早上比较吵，由于没有保安，天天晚上有人在发黄色卡片，有些房间的洗脸盆边缘有黑黑的污垢，好恶心，不过交通很便利，就是退房时间太固定，一定要在十二点，不然就收半天房费。由于是四星级的附属楼，早餐的待遇和住在四星级客人的待遇一样，比较理想，服务也是很好。', '短评打分': 1}
{'短评内容': '酒店的各方面服务都还算比较不错.位置挺方便出行的.其它方面还好', '短评打分': 3}
{'短评内容': '酒店退房时间很死, 超过12点一律按照半天收费, 这点不好', '短评打分': 5}
{'短评内容': '酒店早餐是四星级的顺生那边吃，味道不错，就是没有单间预定的，双早浪费了', '短评打分': 5}
{'短评内容': '这家酒店的整体条件来说只能说一般,没有什么特色,感觉没有格林豪泰好,价格也蛮贵的,服务还可以.', '短评打分': 3}
{'短评内容': '酒店位置不错,交通方便,服务还可以,发的早餐券不错.', '短评打分': 5}
{'短评内容': '地点出行很方便，由于之前订房的时候就交侍过要安静不沿街的房间，所以房间很安静。由于是四星酒店的附属所以一些配套的东西不错，早餐很推荐，中午晚上要是想不出在外面吃什么，那酒店的自助也是不错的选择。很满意房间的地板，是木的，实在很怕那个地毯的那种，感觉很脏。不满意的是电视太小，而且离的太远了，在床上没办法看。总的说来性价比非常不错。', '短评打分': 3}
{'短评内容': '位置不错，早餐特棒，性价比很高，就是每天有人发黄色服务名片不太好。本来要了不靠马路的房间为了安静，结果更吵，因为楼下有个市场，而且很早就开始做生意了。还是靠马路一边好一点。', '短评打分': 5}
{'短评内容': '酒店的价位稍微有些偏高,房间面积也不是很大,不过早餐还可以,蛮干净,也靠近市中心,蛮方便的', '短评打分': 3}
{'短评内容': '地点出行很方便，由于之前订房的时候就交侍过要安静不沿街的房间，所以房间很安静。由于是四星酒店的附属所以一些配套的东西不错，早餐很推荐，中午晚上要是想不出在外面吃什么，那酒店的自助也是不错的选择。很满意房间的地板，是木的，实在很怕那个地毯的那种，感觉很脏。不满意的是电视太小，而且离的太远了，在床上没办法看。总的说来性价比非常不错。', '短评打分': 5}
{'短评内容': '整体还是推荐这家酒店的\r\n卫生条件还不错\r\n重要是四星级的早餐吃的那叫一个好啊\r\n地理位置很方便 逛街、出行很是那个方便哦', '短评打分': 5}
{'短评内容': '假日酒店，4星早餐及4星配到设施。不错~~', '短评打分': 5}
{'短评内容': '除卫生间小了一点以外，其他都还不错。网速超快，早餐四星待遇，服务态度很好。总之，性价比较高', '短评打分': 5}
{'短评内容': '性价比较高,早饭4星待遇出乎意料！总体比较满意！', '短评打分': 5}
{'短评内容': '单人房略显小了一点，不过床很大，很舒适，早餐也很棒！', '短评打分': 5}
{'短评内容': '地方稍差，办事有些不方便，服务稍有欠缺', '短评打分': 5}
{'短评内容': '网速不错，就是服务态度还需要提高，需要东西叫了三次才送来', '短评打分': 5}
{'短评内容': '除了卫生间小一点外,其他都不错,值得推荐,不过门下派卡片的不少,开门却看不到人,有意思', '短评打分': 5}
{'短评内容': '性价比很高，卫生间的简陋勉强可以接受。但是今天CHECK IN的时候，由于酒店销售部发错单子，在前台等了1个多小时。晚上前台只有一个服务员上班，一半都要等15分钟以上，而且后面的人老插队。', '短评打分': 5}
{'短评内容': '酒店的性价比的确可以,临近四星的顺生之星,唯一的遗憾就是洗澡地方小了点,水也小了点.网络还算通畅,倒是下载速度异常之快.值得再次选择的地方.', '短评打分': 5}
{'短评内容': '总体给人感觉还是不错的，值得住~~', '短评打分': 5}
{'短评内容': '酒店的价位还是比较合适的,房间虽然比较小,不过蛮干净的,也靠近市中心,交通还可以.', '短评打分': 5}
{'短评内容': '酒店的环境条件都还可以，价格和合适，整体感觉还可以', '短评打分': 5}
{'短评内容': '酒店的位置一般，设施简单陈旧，条件不太好，不过服务很不错，而且早餐的味道很好，如果还来这里的话，我还是可以考虑的。', '短评打分': 5}
{'短评内容': '早餐好，电视可看卫视，寝具挺干净，价格便宜，地段也不错，房间铺地板（我不喜欢地毯），网速快。\r\n五楼以上水压低，四楼以下有点吵，房间有点小，卫生间干湿不分，（不过价钱摆着那）。\r\n', '短评打分': 5}
{'短评内容': '这个酒店不错。一、交通方便；二、经济型酒店四星酒店早餐，好棒；三、网速极快，下载最快可达1.05mb！！！推荐。', '短评打分': 5}
{'短评内容': '总的来说还行吧，设施不是很新，但还可以啦，这个价位的酒店有这样的早餐算是很不错的了，可以赞一个。', '短评打分': 5}
{'短评内容': '设施太旧.', '短评打分': 1}
{'短评内容': '性价比还可以,值得入住', '短评打分': 5}
{'短评内容': '酒店不错，我已经住过多次了，呵呵', '短评打分': 5}
{'短评内容': '设施配套比较陈旧,价格也不优惠,环境硬件也很一般,后来我过去就选择其它酒店了.', '短评打分': 1}
{'短评内容': '酒店还是不错的，他是顺生酒店的附楼，位置还是不错的，房间干净，设施相对完善，就是他临街的房间有点吵，如果可以安排在安静不是临街的房间旧好一点。', '短评打分': 5}
{'短评内容': '都不错的 卫生  服务 都还好', '短评打分': 5}
{'短评内容': '还不错位置也很好,出入也很方便,', '短评打分': 5}
{'短评内容': '服务卫生还是可以的,位置也不错交通挺方便的,价格也比较合适.', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺实惠,位置也挺交通购物挺方便的.', '短评打分': 5}
