{'短评内容': '水温太低，晚了之后更低，要改善，网络慢的要死，经常断网', '短评打分': 1}
{'短评内容': '我和我的爱人入住这个酒店，酒店里面有一股刺鼻的油漆味，说是四楼在装修，给调到了6楼，走廊里面墙面较脏，洗澡水温不够热。大床房178元，这个酒店的设施不值。', '短评打分': 1}
{'短评内容': '能提供上网很方便，服务和卫生条件也还不错，如果价格能在便宜会更好', '短评打分': 5}
{'短评内容': '房间还比较干净，服务也不行，就是觉得房间有的硬件没有及时修缮，有点旧', '短评打分': 5}
{'短评内容': '在太原同星级的酒店还算比较好的，价格也不高，酒店的高楼层的房间安静些，低楼层临街的房间会有点吵', '短评打分': 5}
{'短评内容': '酒店价格非常便宜，位置也便利，就是卫生间淋浴地方感觉不干净', '短评打分': 5}
{'短评内容': '太原是个不算大的省会城市，但这家酒店的位置实在是偏了些，基本都快到解放路的头了，从广场打车大约要30分钟才可以到，离市中心很远，实在是不便利。服务也一般，微笑都没有，让人感觉冷冰冰的。酒店每天送报纸和更换拖鞋这两项到是很贴心，表扬一下。内部设施还凑合，床挺大，但是太硬了。这样的评价管用么？住过这么多酒店，也评价过不少，但还是该怎样还是怎样，唉。', '短评打分': 5}
{'短评内容': '房间比较干净，服务一般，服务人员不太主动，酒店的位置有点偏出行不是很方便', '短评打分': 1}
{'短评内容': '价格比较便宜，设施也干净整洁，整体都挺好的', '短评打分': 5}
{'短评内容': '刚刚入住时感觉挺好的，经过精心设计的，可能是后期维护、管理有问题，卫生状况让人很担忧，可能是我的房间之前煤老板住过，似乎到处是煤灰，相信不会是真的煤灰，就是一些黑点，但让我很不舒服。值得一提是的这家酒店的夜宵，非常好，特别是面让我回味很久。', '短评打分': 1}
{'短评内容': '当时住的房间很小，而且房间有点冷，酒店的位置还是蛮方便的，价格觉得也不贵，还是值得推荐的', '短评打分': 5}
{'短评内容': '酒店的价格位置都很好出行很方便,价格也很便宜,环境设施都还不错.', '短评打分': 5}
{'短评内容': '卫生也不错,床也很舒服，尤其是洗澡的地方是透明的玻璃围城的，很浪漫，我喜欢！\r\n\r\n', '短评打分': 5}
{'短评内容': '预定是特价房，结果不是在公共厕所门口，就是一进门房间污秽不堪。无奈之下，加钱升到好一点的房间，结果还是脏乱差。更可气的是，第二天退房时，在前台，我清清楚楚听到前台小姐衣特价房的价格把我加钱之的303房间起租给另一个熟客！！！在酒店电梯旁明明写着，退房时间延长到下午13点，我12点50多退房，前台小姐还说，你玩了一小时，没多算你钱，昏倒！', '短评打分': 5}
{'短评内容': '服务很好，态度热情，就是房间宽带上网的接口不牢固，容易掉，整体感觉还好', '短评打分': 5}
{'短评内容': '酒店设施很新，很方便，而且服务也很好。', '短评打分': 5}
{'短评内容': '刚进到酒店，感觉还不错，但是进到房间，问题慢慢出来了。宽带上不了，从下午5点修到10点，最后说，煤博会的问题，宽带用不了。&lt;br /&gt;\n  房间挨着公共厕所，空调不吹冷风。是不是网上预订的房间都这样啊，好像不是吧。酒店位置和交通还可以，希望以后要大大改进啊，不然下次就不登门了。', '短评打分': 3}
{'短评内容': '２００８年９月１３日凌晨１：１５分我去了在网上预定的这个宾馆，从太原机场坐机场大巴１５元坐到五一广场后打的１０元就到了维克商务酒店．店面不是很好看，服务台也一般，还滴水呢！（这是服务员与我亲口说的），还好没有滴在我的头上，我被安排到了７楼还好有电梯挺方便的！网上定价比实际价格便宜４０元，我定的单间大床房，房间不大还很稳薪，有中央空调，还有提供上网的插口，我最喜欢的是卫生间，是用玻璃围成的，拉上沙，', '短评打分': 5}
{'短评内容': '网上预订保证有房子，而且比实际价格便宜，环境很好，床很舒服，尤其是洗澡的地方是透明的玻璃围城的，很浪漫，我喜欢！就是房间里能有电脑就更好了！', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店位置一般，交通还算便利。房间紧凑合理，睡着还算舒服，性价比还行。干净，服务态度不错', '短评打分': 5}
{'短评内容': '90年代的招待所样式，位置偏，我就给很低分了。', '短评打分': 3}
{'短评内容': '入住酒店整体感觉不错，卫生质量在太原应该是算不错的了。希望在设施设备上再更新一下，如果再到太原我想我会再次入住该酒店的。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '前几天出差住了两天,不足之处有以下两点,建议酒店改进,谢谢!&lt;br /&gt;\n一,由于现在供暖期已经结束,酒店为中央空调,已没有热风,房间中有些凉.虽然提供电暖气,但数量较少,且效果不是十分明显.&lt;br /&gt;\n二,建议酒店提高一下上网速度,网速实在太慢了.', '短评打分': 5}
